quant	tiros1	tiros2	tiros_total	tasa_elec_correcta
0.4	10	200	13000	0.7641
0.4	10	210	13600	0.7845
0.4	10	220	14200	0.7796
0.4	10	230	14800	0.7895
0.4	20	190	13400	0.8193
0.4	20	200	14000	0.8286
0.4	20	210	14600	0.8394
0.4	30	170	13200	0.822
0.4	30	180	13800	0.8352
0.4	30	190	14400	0.8468
0.4	30	200	15000	0.868
0.4	40	150	13000	0.783
0.4	40	160	13600	0.8192
0.4	40	170	14200	0.8314
0.4	40	180	14800	0.8421
0.4	50	140	13400	0.7616
0.4	50	150	14000	0.7865
0.4	50	160	14600	0.812
0.4	60	140	14400	0.7687
0.4	60	150	15000	0.7891
0.5	10	240	13000	0.7035
0.5	10	250	13500	0.7116
0.5	10	260	14000	0.712
0.5	10	270	14500	0.7187
0.5	10	280	15000	0.722
0.5	20	220	13000	0.8239
0.5	20	230	13500	0.8332
0.5	20	240	14000	0.8337
0.5	20	250	14500	0.8388
0.5	20	260	15000	0.8477
0.5	30	200	13000	0.8597
0.5	30	210	13500	0.8628
0.5	30	220	14000	0.8709
0.5	30	230	14500	0.877
0.5	30	240	15000	0.8828
0.5	40	180	13000	0.8487
0.5	40	190	13500	0.8608
0.5	40	200	14000	0.8662
0.5	40	210	14500	0.8814
0.5	40	220	15000	0.8895
0.5	50	160	13000	0.8225
0.5	50	170	13500	0.8278
0.5	50	180	14000	0.8567
0.5	50	190	14500	0.8675
0.5	50	200	15000	0.8828
0.5	60	140	13000	0.78
0.5	60	150	13500	0.7948
0.5	60	160	14000	0.8244
0.5	60	170	14500	0.8354
0.5	60	180	15000	0.8574
0.5	70	140	14000	0.7702
0.5	70	150	14500	0.7931
0.5	70	160	15000	0.8238
0.5	80	140	15000	0.7752
0.6	20	280	13200	0.7889
0.6	20	290	13600	0.7921
0.6	20	300	14000	0.7988
0.6	30	260	13400	0.8668
0.6	30	270	13800	0.8682
0.6	30	280	14200	0.8735
0.6	30	290	14600	0.8732
0.6	30	300	15000	0.875
0.6	40	230	13200	0.8859
0.6	40	240	13600	0.8968
0.6	40	250	14000	0.8999
0.6	40	260	14400	0.9033
0.6	40	270	14800	0.9035
0.6	50	210	13400	0.8862
0.6	50	220	13800	0.8977
0.6	50	230	14200	0.9047
0.6	50	240	14600	0.9123
0.6	50	250	15000	0.924
0.6	60	180	13200	0.864
0.6	60	190	13600	0.8757
0.6	60	200	14000	0.8856
0.6	60	210	14400	0.8984
0.6	60	220	14800	0.9072
0.6	70	150	13000	0.8139
0.6	70	160	13400	0.8214
0.6	70	170	13800	0.848
0.6	70	180	14200	0.8697
0.6	70	190	14600	0.8819
0.6	70	200	15000	0.8908
0.6	80	140	13600	0.7905
0.6	80	150	14000	0.8108
0.6	80	160	14400	0.8296
0.6	80	170	14800	0.8473
0.6	90	140	14600	0.7868
0.6	90	150	15000	0.815
0.7	50	270	13100	0.9054
0.7	50	280	13400	0.9062
0.7	50	290	13700	0.9124
0.7	50	300	14000	0.9142
0.7	60	240	13200	0.9133
0.7	60	250	13500	0.9123
0.7	60	260	13800	0.919
0.7	60	270	14100	0.9227
0.7	60	280	14400	0.9249
0.7	60	290	14700	0.9305
0.7	60	300	15000	0.9391
0.7	70	210	13300	0.9028
0.7	70	220	13600	0.9104
0.7	70	230	13900	0.9208
0.7	70	240	14200	0.9224
0.7	70	250	14500	0.9283
0.7	70	260	14800	0.9409
0.7	80	170	13100	0.8644
0.7	80	180	13400	0.8768
0.7	80	190	13700	0.8887
0.7	80	200	14000	0.8969
0.7	80	210	14300	0.9162
0.7	80	220	14600	0.9168
0.7	80	230	14900	0.9289
