min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
10	5	-1	4	27.47	9026000
10	5	-1	6	38.64	10010000
10	5	-1	8	51.42	10066000
10	5	-1	10	60.7	9414000
10	5	-1	15	83.78	6522667
10	5	-1	20	98.77	2872000
10	5	0	4	27.31	3429333
10	5	0	6	38.64	8243333
10	5	0	8	45.77	8323333
10	5	0	10	56.35	9804000
10	5	0	15	79.46	9522000
10	5	0	20	89.5	7843333
10	5	0.01	4	25.5	0
10	5	0.01	6	31.26	0
10	5	0.01	8	37.58	0
10	5	0.01	10	42.24	0
10	5	0.01	15	46.95	0
10	5	0.01	20	46.56	0
10	5	0.02	4	26.18	0
10	5	0.02	6	30.85	0
10	5	0.02	8	34.02	0
10	5	0.02	10	34.15	0
10	5	0.02	15	34.29	0
10	5	0.02	20	34.46	0
10	5	0.03	4	24.07	0
10	5	0.03	6	29.09	0
10	5	0.03	8	29.42	0
10	5	0.03	10	29.46	0
10	5	0.03	15	31	0
10	5	0.03	20	31.28	0
10	5	0.04	4	24.24	0
10	5	0.04	6	25.61	0
10	5	0.04	8	26.01	0
10	5	0.04	10	28.03	0
10	5	0.04	15	27.4	0
10	5	0.04	20	27.31	0
10	5	0.05	4	23.24	0
10	5	0.05	6	24.26	0
10	5	0.05	8	23.93	0
10	5	0.05	10	24.91	0
10	5	0.05	15	24.27	0
10	5	0.05	20	25.77	0
10	5	0.06	4	22.95	0
10	5	0.06	6	23.72	0
10	5	0.06	8	24.57	0
10	5	0.06	10	22.85	0
10	5	0.06	15	22.84	0
10	5	0.06	20	23.81	0
10	5	0.07	4	20.42	0
10	5	0.07	6	20.68	0
10	5	0.07	8	20.87	0
10	5	0.07	10	21.21	0
10	5	0.07	15	21.15	0
10	5	0.07	20	21.56	0
10	5	0.08	4	20.53	0
10	5	0.08	6	21.03	0
10	5	0.08	8	20.56	0
10	5	0.08	10	20.73	0
10	5	0.08	15	20.39	0
10	5	0.08	20	20.85	0
10	5	0.09	4	19.45	0
10	5	0.09	6	20.85	0
10	5	0.09	8	19.75	0
10	5	0.09	10	19.15	0
10	5	0.09	15	20.11	0
10	5	0.09	20	20.61	0
10	5	0.1	4	18.1	0
10	5	0.1	6	17.48	0
10	5	0.1	8	17.81	0
10	5	0.1	10	20.68	0
10	5	0.1	15	18.24	0
10	5	0.1	20	17.77	0
10	5	0.15	4	15.63	0
10	5	0.15	6	15.64	0
10	5	0.15	8	15.15	0
10	5	0.15	10	15.5	0
10	5	0.15	15	15.05	0
10	5	0.15	20	15.61	0
25	5	-1	4	24.72	9016000
25	5	-1	6	34.98	9987333
25	5	-1	8	45.94	10053333
25	5	-1	10	56.07	9496667
25	5	-1	15	78.55	6648667
25	5	-1	20	90.29	3444667
25	5	0	4	24.4	1524667
25	5	0	6	43.94	2845333
25	5	0	8	52.16	4556667
25	5	0	10	58.79	8644000
25	5	0	15	76.54	9486000
25	5	0	20	87.81	9340000
25	5	0.01	4	24.09	0
25	5	0.01	6	31.65	0
25	5	0.01	8	36.51	0
25	5	0.01	10	40.19	0
25	5	0.01	15	44.28	0
25	5	0.01	20	44.13	0
25	5	0.02	4	24.62	0
25	5	0.02	6	30.63	0
25	5	0.02	8	33.94	0
25	5	0.02	10	34.21	0
25	5	0.02	15	34.93	0
25	5	0.02	20	37.3	0
25	5	0.03	4	24.22	0
25	5	0.03	6	29.47	0
25	5	0.03	8	29.82	0
25	5	0.03	10	30.09	0
25	5	0.03	15	30.24	0
25	5	0.03	20	30.12	0
25	5	0.04	4	24.16	0
25	5	0.04	6	26.36	0
25	5	0.04	8	28.04	0
25	5	0.04	10	28.61	0
25	5	0.04	15	28.21	0
25	5	0.04	20	28.33	0
25	5	0.05	4	25.19	0
25	5	0.05	6	25.78	0
25	5	0.05	8	27.6	0
25	5	0.05	10	26.12	0
25	5	0.05	15	27.06	0
25	5	0.05	20	25.76	0
25	5	0.06	4	23.21	0
25	5	0.06	6	25	0
25	5	0.06	8	24.48	0
25	5	0.06	10	24.82	0
25	5	0.06	15	24.12	0
25	5	0.06	20	23.19	0
25	5	0.07	4	20.85	0
25	5	0.07	6	21.67	0
25	5	0.07	8	23.56	0
25	5	0.07	10	23.07	0
25	5	0.07	15	21.91	0
25	5	0.07	20	21.34	0
25	5	0.08	4	20.95	0
25	5	0.08	6	21.6	0
25	5	0.08	8	21.62	0
25	5	0.08	10	22.27	0
25	5	0.08	15	20.8	0
25	5	0.08	20	21.48	0
25	5	0.09	4	20.84	0
25	5	0.09	6	22.33	0
25	5	0.09	8	21.03	0
25	5	0.09	10	21.14	0
25	5	0.09	15	20.96	0
25	5	0.09	20	21.07	0
25	5	0.1	4	18.46	0
25	5	0.1	6	18.77	0
25	5	0.1	8	19.53	0
25	5	0.1	10	18.94	0
25	5	0.1	15	18.74	0
25	5	0.1	20	20.14	0
25	5	0.15	4	17.06	0
25	5	0.15	6	17.48	0
25	5	0.15	8	16.99	0
25	5	0.15	10	16.78	0
25	5	0.15	15	16.41	0
25	5	0.15	20	16.5	0
25	12	-1	4	26.3	8947333
25	12	-1	6	37.33	10184000
25	12	-1	8	48.36	9520667
25	12	-1	10	58.71	8284000
25	12	-1	15	77.21	5219333
25	12	-1	20	89.54	3468000
25	12	0	4	26.88	0
25	12	0	6	41.63	0
25	12	0	8	53.57	0
25	12	0	10	69.92	4712667
25	12	0	15	93.16	9411333
25	12	0	20	98.6	9394667
25	12	0.01	4	28.35	0
25	12	0.01	6	35.96	0
25	12	0.01	8	40.91	0
25	12	0.01	10	43.73	0
25	12	0.01	15	45.34	0
25	12	0.01	20	45.37	0
25	12	0.02	4	27.86	0
25	12	0.02	6	34.23	0
25	12	0.02	8	37.19	0
25	12	0.02	10	36.92	0
25	12	0.02	15	36.7	0
25	12	0.02	20	37.85	0
25	12	0.03	4	28.46	0
25	12	0.03	6	32.81	0
25	12	0.03	8	32.91	0
25	12	0.03	10	32.97	0
25	12	0.03	15	33.49	0
25	12	0.03	20	32.85	0
25	12	0.04	4	28.41	0
25	12	0.04	6	30.25	0
25	12	0.04	8	30.03	0
25	12	0.04	10	30.88	0
25	12	0.04	15	30.1	0
25	12	0.04	20	30.78	0
25	12	0.05	4	28.44	0
25	12	0.05	6	29.19	0
25	12	0.05	8	28.76	0
25	12	0.05	10	29.2	0
25	12	0.05	15	28.86	0
25	12	0.05	20	29.55	0
25	12	0.06	4	25.54	0
25	12	0.06	6	26.38	0
25	12	0.06	8	26.45	0
25	12	0.06	10	27.13	0
25	12	0.06	15	26.13	0
25	12	0.06	20	26.15	0
25	12	0.07	4	24.12	0
25	12	0.07	6	24.49	0
25	12	0.07	8	24.75	0
25	12	0.07	10	24.45	0
25	12	0.07	15	25.28	0
25	12	0.07	20	24.53	0
25	12	0.08	4	23.73	0
25	12	0.08	6	23.91	0
25	12	0.08	8	23.82	0
25	12	0.08	10	24.36	0
25	12	0.08	15	23.93	0
25	12	0.08	20	24.01	0
25	12	0.09	4	22.76	0
25	12	0.09	6	23.16	0
25	12	0.09	8	22.9	0
25	12	0.09	10	22.55	0
25	12	0.09	15	22.96	0
25	12	0.09	20	23.43	0
25	12	0.1	4	20.96	0
25	12	0.1	6	20.88	0
25	12	0.1	8	21.54	0
25	12	0.1	10	21.24	0
25	12	0.1	15	20.34	0
25	12	0.1	20	21.37	0
25	12	0.15	4	17.92	0
25	12	0.15	6	18.3	0
25	12	0.15	8	18.5	0
25	12	0.15	10	18.14	0
25	12	0.15	15	18.45	0
25	12	0.15	20	18.17	0
50	5	-1	4	29.18	9016000
50	5	-1	6	40.16	10010000
50	5	-1	8	52.05	10088000
50	5	-1	10	63.78	9521333
50	5	-1	15	88.42	6911333
50	5	-1	20	104.05	4101333
50	5	0	4	27.73	0
50	5	0	6	39.43	1282000
50	5	0	8	52.45	4610667
50	5	0	10	63.28	8697333
50	5	0	15	87.64	8930000
50	5	0	20	100.06	8776000
50	5	0.01	4	27.22	0
50	5	0.01	6	36.44	0
50	5	0.01	8	41.88	0
50	5	0.01	10	46.85	0
50	5	0.01	15	49.31	0
50	5	0.01	20	50.3	0
50	5	0.02	4	27.98	0
50	5	0.02	6	35.26	0
50	5	0.02	8	39.13	0
50	5	0.02	10	40.58	0
50	5	0.02	15	40.92	0
50	5	0.02	20	40.51	0
50	5	0.03	4	28.44	0
50	5	0.03	6	34.35	0
50	5	0.03	8	34.83	0
50	5	0.03	10	34.37	0
50	5	0.03	15	35.48	0
50	5	0.03	20	35.26	0
50	5	0.04	4	28.43	0
50	5	0.04	6	30.64	0
50	5	0.04	8	30.98	0
50	5	0.04	10	30.59	0
50	5	0.04	15	31.82	0
50	5	0.04	20	32.52	0
50	5	0.05	4	27.66	0
50	5	0.05	6	29.08	0
50	5	0.05	8	28.83	0
50	5	0.05	10	29.46	0
50	5	0.05	15	29.66	0
50	5	0.05	20	29.02	0
50	5	0.06	4	25.56	0
50	5	0.06	6	27.53	0
50	5	0.06	8	26.06	0
50	5	0.06	10	26.39	0
50	5	0.06	15	26.56	0
50	5	0.06	20	26.44	0
50	5	0.07	4	24.4	0
50	5	0.07	6	24.55	0
50	5	0.07	8	24.97	0
50	5	0.07	10	24.32	0
50	5	0.07	15	24.75	0
50	5	0.07	20	24.68	0
50	5	0.08	4	23.74	0
50	5	0.08	6	23.96	0
50	5	0.08	8	24	0
50	5	0.08	10	24.23	0
50	5	0.08	15	23.95	0
50	5	0.08	20	24.77	0
50	5	0.09	4	22.72	0
50	5	0.09	6	22.81	0
50	5	0.09	8	23.77	0
50	5	0.09	10	22.75	0
50	5	0.09	15	22.98	0
50	5	0.09	20	23.09	0
50	5	0.1	4	21.09	0
50	5	0.1	6	20.8	0
50	5	0.1	8	21.74	0
50	5	0.1	10	20.81	0
50	5	0.1	15	20.8	0
50	5	0.1	20	21.32	0
50	5	0.15	4	18.96	0
50	5	0.15	6	18.63	0
50	5	0.15	8	18.64	0
50	5	0.15	10	18.22	0
50	5	0.15	15	18.73	0
50	5	0.15	20	18.22	0
50	12	-1	4	29.61	8939333
50	12	-1	6	40.9	10130000
50	12	-1	8	52.67	9385333
50	12	-1	10	65.7	7997333
50	12	-1	15	86.75	5477333
50	12	-1	20	97.38	3895333
50	12	0	4	27.82	0
50	12	0	6	40.9	0
50	12	0	8	50.4	0
50	12	0	10	62.85	0
50	12	0	15	83.69	5016000
50	12	0	20	94.59	5016000
50	12	0.01	4	27.81	0
50	12	0.01	6	34.94	0
50	12	0.01	8	39.28	0
50	12	0.01	10	42.88	0
50	12	0.01	15	44.98	0
50	12	0.01	20	44.71	0
50	12	0.02	4	28.71	0
50	12	0.02	6	34.27	0
50	12	0.02	8	37.25	0
50	12	0.02	10	36.72	0
50	12	0.02	15	36.18	0
50	12	0.02	20	37.51	0
50	12	0.03	4	27.87	0
50	12	0.03	6	31.93	0
50	12	0.03	8	33.09	0
50	12	0.03	10	33.64	0
50	12	0.03	15	34.05	0
50	12	0.03	20	33.37	0
50	12	0.04	4	28.59	0
50	12	0.04	6	29.71	0
50	12	0.04	8	30.23	0
50	12	0.04	10	29.8	0
50	12	0.04	15	29.8	0
50	12	0.04	20	30.72	0
50	12	0.05	4	27.45	0
50	12	0.05	6	28.44	0
50	12	0.05	8	28.59	0
50	12	0.05	10	29.01	0
50	12	0.05	15	29.1	0
50	12	0.05	20	29.78	0
50	12	0.06	4	25.28	0
50	12	0.06	6	26.26	0
50	12	0.06	8	26.13	0
50	12	0.06	10	26.87	0
50	12	0.06	15	26.25	0
50	12	0.06	20	26.11	0
50	12	0.07	4	23.95	0
50	12	0.07	6	24.62	0
50	12	0.07	8	23.72	0
50	12	0.07	10	23.88	0
50	12	0.07	15	24.33	0
50	12	0.07	20	25.09	0
50	12	0.08	4	24.23	0
50	12	0.08	6	24.18	0
50	12	0.08	8	24.78	0
50	12	0.08	10	24.03	0
50	12	0.08	15	24.2	0
50	12	0.08	20	24.31	0
50	12	0.09	4	23.34	0
50	12	0.09	6	23.09	0
50	12	0.09	8	22.83	0
50	12	0.09	10	23.17	0
50	12	0.09	15	23.62	0
50	12	0.09	20	22.84	0
50	12	0.1	4	20.67	0
50	12	0.1	6	21.31	0
50	12	0.1	8	21.1	0
50	12	0.1	10	21.19	0
50	12	0.1	15	21.43	0
50	12	0.1	20	21.02	0
50	12	0.15	4	18.31	0
50	12	0.15	6	18.33	0
50	12	0.15	8	17.85	0
50	12	0.15	10	18.72	0
50	12	0.15	15	18.01	0
50	12	0.15	20	18.11	0
50	25	-1	4	28.76	9126000
50	25	-1	6	40.03	9761333
50	25	-1	8	52.05	8741333
50	25	-1	10	63.44	7261333
50	25	-1	15	82.33	4766667
50	25	-1	20	90.65	3937333
50	25	0	4	27.69	0
50	25	0	6	39.75	0
50	25	0	8	50.73	0
50	25	0	10	62.12	0
50	25	0	15	79.5	0
50	25	0	20	86.09	0
50	25	0.01	4	27.3	0
50	25	0.01	6	33.21	0
50	25	0.01	8	37.5	0
50	25	0.01	10	40.17	0
50	25	0.01	15	41.35	0
50	25	0.01	20	41.07	0
50	25	0.02	4	27.81	0
50	25	0.02	6	32.17	0
50	25	0.02	8	34.25	0
50	25	0.02	10	33.97	0
50	25	0.02	15	34.58	0
50	25	0.02	20	35.12	0
50	25	0.03	4	27.68	0
50	25	0.03	6	29.94	0
50	25	0.03	8	31.07	0
50	25	0.03	10	31.5	0
50	25	0.03	15	30.66	0
50	25	0.03	20	31.27	0
50	25	0.04	4	26.95	0
50	25	0.04	6	28.32	0
50	25	0.04	8	29.36	0
50	25	0.04	10	29.19	0
50	25	0.04	15	28.87	0
50	25	0.04	20	29.25	0
50	25	0.05	4	27.14	0
50	25	0.05	6	27.67	0
50	25	0.05	8	27.27	0
50	25	0.05	10	28.07	0
50	25	0.05	15	27.36	0
50	25	0.05	20	28.49	0
50	25	0.06	4	24.9	0
50	25	0.06	6	25.73	0
50	25	0.06	8	24.82	0
50	25	0.06	10	25.13	0
50	25	0.06	15	24.96	0
50	25	0.06	20	25.42	0
50	25	0.07	4	23.17	0
50	25	0.07	6	23.91	0
50	25	0.07	8	23.19	0
50	25	0.07	10	23.98	0
50	25	0.07	15	23.9	0
50	25	0.07	20	23.86	0
50	25	0.08	4	23.4	0
50	25	0.08	6	23.22	0
50	25	0.08	8	23.75	0
50	25	0.08	10	23.05	0
