min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
10	5	-1	4	31.31	9026000
10	5	-1	6	41.73	10010000
10	5	-1	8	56.34	10066000
10	5	-1	10	71.56	9414000
10	5	-1	15	95.27	6522667
10	5	-1	20	107.5	2872000
10	5	-0.75	4	28.81	9026000
10	5	-0.75	6	40.85	10010000
10	5	-0.75	8	53.66	10066000
10	5	-0.75	10	64.58	9414000
10	5	-0.75	15	91.75	6522667
10	5	-0.75	20	105.98	2872000
10	5	-0.5	4	28.63	9026000
10	5	-0.5	6	41.11	10010000
10	5	-0.5	8	53.04	10066000
10	5	-0.5	10	64.82	9414000
10	5	-0.5	15	91.25	6522667
10	5	-0.5	20	106.6	2872000
10	5	-0.25	4	29.05	9026000
10	5	-0.25	6	40.82	10010000
10	5	-0.25	8	52.91	10066000
10	5	-0.25	10	64.79	9414000
10	5	-0.25	15	91.97	6522667
10	5	-0.25	20	106.03	2872000
10	5	0	4	29.01	3429333
10	5	0	6	41.05	8243333
10	5	0	8	52.86	8323333
10	5	0	10	64.68	9804000
10	5	0	15	88.72	9522000
10	5	0	20	103.22	7843333
10	5	0.001	4	28.58	1904667
10	5	0.001	6	40.88	3304667
10	5	0.001	8	52.64	3304667
10	5	0.001	10	64.09	3789333
10	5	0.001	15	85.67	3789333
10	5	0.001	20	97.04	3789333
10	5	0.002	4	28.7	0
10	5	0.002	6	38.91	0
10	5	0.002	8	50.85	0
10	5	0.002	10	59.78	0
10	5	0.002	15	75.94	0
10	5	0.002	20	87.24	0
10	5	0.003	4	27.99	0
10	5	0.003	6	39.61	0
10	5	0.003	8	49.92	0
10	5	0.003	10	56.76	0
10	5	0.003	15	70.9	0
10	5	0.003	20	77.9	0
10	5	0.004	4	28.37	0
10	5	0.004	6	39.35	0
10	5	0.004	8	47.72	0
10	5	0.004	10	54.99	0
10	5	0.004	15	67.05	0
10	5	0.004	20	71.27	0
10	5	0.005	4	28.68	0
10	5	0.005	6	38.79	0
10	5	0.005	8	46.5	0
10	5	0.005	10	53.44	0
10	5	0.005	15	62.75	0
10	5	0.005	20	65.55	0
10	5	0.006	4	28.75	0
10	5	0.006	6	38.16	0
