min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
200	10	-1	3	23:10:07	23:11:22	75.0360009670258	9693333.33333333
250	10	-1	3	23:10:07	23:11:22	75.035001039505	9693333.33333333
150	10	-1	3	23:10:07	23:11:23	76.100389957428	9693333.33333333
300	10	-1	3	23:10:07	23:11:23	76.5161509513855	9693333.33333333
50	10	-1	3	23:10:07	23:11:23	76.5321419239044	9693333.33333333
350	10	-1	3	23:10:07	23:11:24	77.0848250389099	9693333.33333333
100	10	-1	3	23:10:07	23:11:24	77.5315690040588	9693333.33333333
25	10	-1	3	23:10:07	23:11:24	77.5735440254211	9693333.33333333
650	10	-1	3	23:11:26	23:12:37	71.3802111148834	9693333.33333333
700	10	-1	3	23:11:26	23:12:38	71.734011888504	9693333.33333333
450	10	-1	3	23:11:26	23:12:38	72.2297258377075	9693333.33333333
500	10	-1	3	23:11:26	23:12:39	72.6804690361023	9693333.33333333
750	10	-1	3	23:11:26	23:12:39	72.6984539031982	9693333.33333333
600	10	-1	3	23:11:26	23:12:39	72.9722981452942	9693333.33333333
550	10	-1	3	23:11:26	23:12:39	73.2681300640106	9693333.33333333
400	10	-1	3	23:11:26	23:12:39	73.314101934433	9693333.33333333
100	15	-1	3	23:12:41	23:13:50	68.4467399120331	9693333.33333333
850	10	-1	3	23:12:41	23:13:50	69.1683268547058	9693333.33333333
900	10	-1	3	23:12:41	23:13:51	69.4471659660339	9693333.33333333
950	10	-1	3	23:12:41	23:13:51	69.9508781433105	9693333.33333333
1000	10	-1	3	23:12:41	23:13:52	70.304671049118	9693333.33333333
25	15	-1	3	23:12:41	23:13:52	70.3996181488037	9693333.33333333
800	10	-1	3	23:12:41	23:13:52	70.5105521678925	9693333.33333333
50	15	-1	3	23:12:41	23:13:52	70.6494770050049	9693333.33333333
200	15	-1	3	23:13:54	23:15:02	68.2938311100006	9693333.33333333
250	15	-1	3	23:13:54	23:15:03	69.0064239501953	9693333.33333333
150	15	-1	3	23:13:54	23:15:03	69.0433959960938	9693333.33333333
450	15	-1	3	23:13:54	23:15:03	69.7250068187714	9693333.33333333
300	15	-1	3	23:13:54	23:15:03	69.7320020198822	9693333.33333333
500	15	-1	3	23:13:54	23:15:04	69.8749248981476	9693333.33333333
350	15	-1	3	23:13:54	23:15:04	69.9068977832794	9693333.33333333
400	15	-1	3	23:13:54	23:15:04	69.9858558177948	9693333.33333333
600	15	-1	3	23:15:05	23:16:14	68.7805478572845	9693333.33333333
650	15	-1	3	23:15:05	23:16:14	68.9864311218262	9693333.33333333
