fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 100315	-0.0534854753727972	1089	398	20	5	10501000	59
20220408 093428	-0.655763076154108	1141	321	13	5	10400000	1
20220408 101926	-0.887597021031556	1142	286	6	5	10343000	90
20220408 102736	-0.362102544180472	1304	425	5	5	10332000	107
20220408 102433	-0.310563036786886	1284	240	6	5	10328000	100
20220408 101556	-0.396330605007453	1537	445	10	5	10305000	83
20220408 100711	-0.652750690025468	1339	336	17	5	10298000	66
20220408 102700	-0.289415579291612	1404	343	8	5	10297000	105
20220408 102409	-0.345161150640698	1747	422	19	5	10290000	99
20220408 094923	-0.603610270447879	748	371	10	5	10286000	33
20220408 101524	-0.397470386028113	675	263	5	5	10264000	82
20220408 100605	-0.619712713963567	970	403	14	5	10263000	64
20220408 100527	-0.38763377588686	859	341	19	5	10254000	63
20220408 102142	-0.31601970552458	745	369	9	5	10239000	94
20220408 095231	-0.842535856583717	739	359	13	5	10196000	38
20220408 100744	-0.995104457149693	2245	916	10	5	10116000	67
20220408 100408	-0.0558111007572411	831	413	18	5	10114000	61
20220408 094654	-0.610766301437575	15	1	12	5	10108000	27
20220408 100118	-0.802598978767169	981	472	12	5	10099000	56
20220408 102939	-0.265761445561037	822	404	20	5	10073000	111
20220408 100633	-0.557702235934656	888	443	7	5	10072000	65
20220408 094141	-0.940007089700994	1337	309	7	5	10055000	18
20220408 094431	-0.810345991128618	826	384	20	5	10048000	23
20220408 100042	-0.0602111469770681	1327	271	18	5	9986000	55
20220408 101023	-0.580564500186116	1745	861	15	5	9975000	73
20220408 102806	-0.891016537851767	2284	982	9	5	9964000	108
20220408 103131	-0.483455034681012	2356	908	20	5	9924000	115
20220408 094114	-0.740460107799774	1748	452	11	5	9917000	17
20220408 102245	-0.308920088146909	2369	304	20	5	9885000	96
20220408 095117	-0.78952674898623	1880	938	19	5	9853000	36
20220408 102529	-0.710762567220778	2547	924	12	5	9852000	102
20220408 102334	-0.413826588774844	652	325	10	5	9849000	98
20220408 101902	-0.0582437240103496	2670	376	20	5	9844000	89
20220408 103000	-0.956215697866433	2260	922	5	5	9844000	112
20220408 094219	-0.816382702643093	2354	343	20	5	9828000	19
20220408 102039	-0.0404329435760958	1379	217	20	5	9805000	92
20220408 101347	-0.292476913440895	1968	973	20	5	9786000	79
20220408 103201	-0.799073586825044	2420	1134	14	5	9744000	116
20220408 093905	-0.489521189626248	2188	628	8	5	9737000	12
20220408 101503	-0.667859721357105	1116	437	11	5	9734000	81
20220408 095511	-0.400962539198313	8	1	9	5	9728000	43
20220408 101752	-0.108917463765926	2301	378	20	5	9724000	87
20220408 094719	-0.295035493996745	162	78	6	5	9722000	28
20220408 102902	-0.327905216038685	2322	429	6	5	9714000	110
20220408 094608	-0.83528981395396	3	1	9	5	9699000	26
20220408 102459	-0.835991920361623	2622	379	7	5	9699000	101
20220408 095337	-0.622596301046843	1347	566	20	5	9688000	40
20220408 093809	-0.988289027551946	2999	947	18	5	9682000	10
20220408 094536	-0.538486983737534	2030	1015	13	5	9634000	25
20220408 095931	-0.125303115859808	1023	509	4	5	9594000	52
20220408 095438	-0.615054248286442	3081	774	20	5	9585000	42
20220408 100816	-0.229341077150445	1748	869	10	5	9581000	68
20220408 101700	-0.392496495397988	3217	339	10	5	9580000	85
20220408 102108	-0.913141175942142	1558	574	8	5	9576000	93
20220408 102559	-0.337820825674938	3103	825	20	5	9561000	103
20220408 102207	-0.30464909255168	1353	671	6	5	9552000	95
20220408 095631	-0.84675856920646	1348	674	6	5	9528000	46
20220408 094251	-0.748253923760215	4054	632	12	5	9518000	20
20220408 102838	-0.770396790737632	1870	553	20	5	9453000	109
20220408 093930	-0.652498880709754	3949	317	7	5	9436000	13
