fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220408 191754	1852	19	253	21	5	11074000	1
20220408 192918	956	5	105	31	5	10918000	2
20220408 203436	1500	14	324	45	5	10734000	3
20220408 205835	1743	7	236	24	5	11166000	4
20220408 210504	152	23	368	36	5	10359000	5
20220408 214427	2081	27	414	17	5	11130000	6
20220408 214827	1371	2	376	16	5	8638000	7
20220408 215315	1007	16	85	3	5	11459000	8
20220408 224652	1177	24	169	39	5	9273000	9
20220408 225200	315	30	52	14	5	10058000	10
20220408 230922	1962	12	313	9	5	11962000	11
20220408 232458	425	10	487	49	5	10992000	12
20220408 234631	2244	3	29	42	5	9918000	13
20220408 235133	657	19	454	6	5	11624000	14
20220409 012710	2414	26	189	34	5	10110000	15
20220409 014347	742	11	131	27	5	11488000	16
20220409 014439	213	12	324	2	5	10748000	17
20220409 021321	2354	12	109	13	5	11596000	18
20220409 023656	1812	11	471	15	5	11678000	19
20220409 025158	1948	14	456	7	5	12088000	20
20220409 030003	2054	17	500	2	5	10569000	21
20220409 031121	1154	15	324	9	5	11784000	22
20220409 032848	1724	13	383	10	5	11724000	23
20220409 033601	1952	14	218	2	5	10581000	24
20220409 034448	1107	14	55	7	5	11797000	25
20220409 040421	2426	12	500	8	5	11889000	26
20220409 042117	2081	16	269	7	5	11806000	27
20220409 042422	407	15	476	6	5	11952000	28
20220409 043331	1249	12	414	7	5	11919000	29
20220409 051529	2499	14	464	17	5	11360000	30
20220409 052619	1368	15	497	7	5	11937000	31
20220409 053812	1709	14	357	6	5	11820000	32
20220409 053931	149	14	398	7	5	11871000	33
20220409 061141	1809	11	5	21	5	11054000	34
20220409 062853	1994	14	391	8	5	12030000	35
20220409 064140	1960	10	451	7	5	11868000	36
20220409 065620	1944	13	494	7	5	11977000	37
20220409 065715	101	17	1	6	5	8470000	38
20220409 070547	2256	6	500	6	5	10842000	39
20220409 071209	812	14	441	7	5	12183000	40
20220409 071427	242	12	500	9	5	11505000	41
20220409 072514	1376	14	158	7	5	11912000	42
20220409 073210	976	15	420	6	5	11776000	43
20220409 074024	2107	5	377	8	5	10726000	44
20220409 075543	1875	12	63	8	5	11943000	45
20220409 082409	2020	17	500	13	5	11577000	46
20220409 082916	602	14	448	7	5	11646000	47
20220409 083029	132	17	500	6	5	11500000	48
20220409 083822	842	15	500	8	5	11556000	49
20220409 084453	818	13	325	7	5	11853000	50
20220409 091553	1897	16	140	10	5	11390000	51
20220409 094628	2395	13	283	8	5	12175000	52
20220409 100942	2332	14	351	9	5	11982000	53
20220409 102923	2289	12	165	8	5	11847000	54
20220416 185755	1368	19	382	7	5	11763000	55
20220416 191824	2500	14	324	7	5	11941000	56
20220416 192352	795	13	445	5	5	11493000	57
20220416 193833	1863	13	301	7	5	12022000	58
20220416 200333	2500	12	277	10	5	12063000	59
20220416 201635	1645	14	443	7	5	11917000	60
20220416 204620	2390	12	426	12	5	11863000	61
20220416 210745	2417	11	324	8	5	11884000	62
20220416 213312	2449	14	248	9	5	11913000	63
20220416 214320	1311	14	380	7	5	12071000	64
20220416 221244	2087	13	300	14	5	11651000	65
20220416 222713	1592	14	1	7	5	11465000	66
20220416 223717	1208	16	236	7	5	11806000	67
20220416 225503	2198	13	355	7	5	11949000	68
20220416 230741	1751	10	166	8	5	11866000	69
20220416 232254	1864	18	458	7	5	12076000	70
20220416 234417	2363	19	457	8	5	11944000	71
20220417 000024	1968	23	453	7	5	12037000	72
20220417 002000	2358	24	307	7	5	11478000	73
20220417 003706	1855	28	475	8	5	11840000	74
20220417 003849	254	9	442	7	5	11442000	75
20220417 004138	336	16	426	7	5	12024000	76
20220417 004813	814	15	409	7	5	12062000	77
20220417 010720	1885	22	466	9	5	11826000	78
20220417 012008	1740	25	474	6	5	11656000	79
20220417 014007	2163	26	500	8	5	12031000	80
20220417 015710	2089	20	494	7	5	11774000	81
20220417 021912	2379	30	488	8	5	11883000	82
20220417 024931	2496	26	500	11	5	11522000	83
20220417 030924	2151	28	429	8	5	11736000	84
20220417 032023	1283	11	85	9	5	11543000	85
20220417 034633	2374	13	292	11	5	11814000	86
20220417 041143	2500	13	443	10	5	11943000	87
20220417 041412	294	14	452	7	5	11776000	88
20220417 041713	382	22	421	6	5	11825000	89
20220417 041830	100	16	389	10	5	11051000	90
20220417 044627	2224	11	500	14	5	11791000	91
20220417 045856	1442	14	301	8	5	11718000	92
20220417 050538	866	13	435	7	5	12095000	93
20220417 052131	1860	13	446	8	5	12092000	94
20220417 054151	2411	25	500	7	5	11890000	95
20220417 060244	1938	11	462	12	5	11845000	96
20220417 060955	1296	11	88	5	5	11581000	97
20220417 062411	1935	12	133	7	5	12109000	98
20220417 065654	2500	12	333	14	5	11682000	99
20220417 070849	1945	9	87	7	5	11380000	100
20220417 072408	1882	12	188	8	5	11967000	101
20220417 072708	397	17	411	6	5	11602000	102
20220417 073359	794	23	442	7	5	11694000	103
20220417 075057	1889	16	450	8	5	11895000	104
20220417 080251	1776	12	116	6	5	11727000	105
20220417 082122	1985	24	500	8	5	12019000	106
20220417 083633	2013	30	500	6	5	11881000	107
20220417 084324	864	14	413	7	5	11908000	108
20220417 084924	797	12	461	7	5	11528000	109
20220417 085619	826	16	436	7	5	11933000	110
20220417 090546	1186	14	399	7	5	12038000	111
20220417 091625	1267	13	444	7	5	11864000	112
20220417 092904	1787	11	403	7	5	11717000	113
20220417 093803	1169	12	255	7	5	11474000	114
20220417 095603	1983	12	132	9	5	11936000	115
20220417 101212	1918	19	358	7	5	11862000	116
