fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220418 210313	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	28	TRUE	0.159518132001627	0.607175080971792	636	719	0.0343819029483711	8231000	1
20220418 210343	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	89	TRUE	0.0793826848169556	0.738319449601695	5809	141	0.0416090855481646	9439000	2
20220418 210400	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	37	TRUE	0.251816935714334	0.364276063116267	6502	453	0.0228542365376294	12631000	3
20220418 210433	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	15	TRUE	0.199410215042531	0.808371880333871	1045	109	0.018211207765853	11600000	4
20220418 210505	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	24	TRUE	0.174418484438909	0.52952339053154	1497	815	0.0232725971300776	11615000	5
20220418 210521	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	32	TRUE	0.196764500414021	0.707400284614414	4567	499	0.0422504487539603	9004000	6
20220418 210606	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	112	TRUE	0.0475619684065459	0.51891799479723	4355	49	0.0150854888173247	13756000	7
20220418 210626	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	22	TRUE	0.272522048190469	0.595010148622096	3101	397	0.0253371860827125	11214000	8
20220418 210649	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	55	TRUE	0.0936502480099443	0.453930657124147	7013	852	0.0319437643479129	11320000	9
20220418 210709	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	50	TRUE	0.10617736250814	0.218168883398175	5054	559	0.0124663987910026	12993000	10
20220418 210724	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	39	TRUE	0.241048317713896	0.296279337136075	5527	230	0.0455788662007156	8642000	11
20220418 210745	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	38	TRUE	0.126646827731282	0.894332734560594	3565	173	0.0368111476918178	10201000	12
20220418 210944	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	339	TRUE	0.0121908624678617	0.995931047089398	3737	634	0.0271117434832073	11923000	13
20220418 211521	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	44	TRUE	0.0556655576888006	0.326294793719426	161	967	0.0385615080459199	6260000	14
20220418 211540	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	13	TRUE	0.260420171678183	0.855861052880064	1651	591	0.0144504992344688	11486000	15
20220418 211554	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	39	TRUE	0.113190980421961	0.677354152789339	7743	333	0.00949061906673402	11963000	16
20220418 211613	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	33	TRUE	0.292370082505862	0.79118352515623	2201	731	0.0496367627143627	7639000	17
20220418 211625	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	31	TRUE	0.217977532953257	0.279885361734778	7226	976	0.0196154688795408	13026000	18
20220418 211712	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	217	TRUE	0.0297627939089434	0.938158050114289	6064	885	0.0477201441589083	8431000	19
20220418 211735	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	43	TRUE	0.153183203156455	0.428611361123622	2798	315	0.0311497521455749	11112000	20
20220418 211954	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	671	TRUE	0.010108990475159	0.289205824441928	5698	146	0.0184385526250812	13415000	21
20220418 212057	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	244	TRUE	0.0278712255720998	0.522204633803332	5720	697	0.0175289459351715	13539000	22
20220418 212347	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	980	TRUE	0.0109219164958405	0.305842304248295	3257	16	0.0144304154724201	13715000	23
