fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 175925	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	19	TRUE	0.159518132001627	0.607175080971792	636	719	0.0343819029483711	8518000	1
20220423 175957	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	77	TRUE	0.0793826848169556	0.738319449601695	5809	141	0.0416090855481646	9538000	2
20220423 180014	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	22	TRUE	0.251816935714334	0.364276063116267	6502	453	0.0228542365376294	13036000	3
20220423 180050	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	16	TRUE	0.199410215042531	0.808371880333871	1045	109	0.018211207765853	11568000	4
20220423 180131	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	27	TRUE	0.174418484438909	0.52952339053154	1497	815	0.0232725971300776	11012000	5
20220423 180158	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	55	TRUE	0.196764500414021	0.707400284614414	4567	499	0.0422504487539603	9118000	6
20220423 180300	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	126	TRUE	0.0475619684065459	0.51891799479723	4355	49	0.0150854888173247	13467000	7
20220423 180321	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	19	TRUE	0.272522048190469	0.595010148622096	3101	397	0.0253371860827125	11841000	8
20220423 180400	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	109	TRUE	0.0936502480099443	0.453930657124147	7013	852	0.0319437643479129	10831000	9
20220423 180427	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	69	TRUE	0.10617736250814	0.218168883398175	5054	559	0.0124663987910026	12857000	10
20220423 180452	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	68	TRUE	0.241048317713896	0.296279337136075	5527	230	0.0455788662007156	8445000	11
20220423 180517	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	32	TRUE	0.126646827731282	0.894332734560594	3565	173	0.0368111476918178	9650000	12
20220423 180820	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	481	TRUE	0.0121908624678617	0.995931047089398	3737	634	0.0271117434832073	11801000	13
20220423 181335	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	33	TRUE	0.0556655576888006	0.326294793719426	161	967	0.0385615080459199	6738000	14
20220423 181402	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	12	TRUE	0.260420171678183	0.855861052880064	1651	591	0.0144504992344688	12325000	15
20220423 181423	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	40	TRUE	0.113190980421961	0.677354152789339	7743	333	0.00949061906673402	11820000	16
20220423 181445	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	18	TRUE	0.292370082505862	0.79118352515623	2201	731	0.0496367627143627	7659000	17
20220423 181502	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	24	TRUE	0.217977532953257	0.279885361734778	7226	976	0.0196154688795408	13523000	18
20220423 181612	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	222	TRUE	0.0297627939089434	0.938158050114289	6064	885	0.0477201441589083	8332000	19
20220423 181646	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	35	TRUE	0.153183203156455	0.428611361123622	2798	315	0.0311497521455749	10911000	20
20220423 182031	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	682	TRUE	0.0101329310160326	0.461768204380455	6075	416	0.0183712269172449	13118000	21
20220423 182049	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	35	TRUE	0.299919651152419	0.356827867194712	7355	934	0.0162871873951398	12887000	22
20220423 182142	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	268	TRUE	0.0397104879788852	0.204339457802189	5485	16	0.0164675936915137	13246000	23
20220423 182157	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	25	TRUE	0.176403609762603	0.960105349186528	7953	1023	0.019877667042126	13034000	24
20220423 182215	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	42	TRUE	0.177039018849379	0.24599049444702	7984	724	0.0200493386057991	12788000	25
20220423 182235	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	28	TRUE	0.208897611507644	0.582734685282986	5658	1022	0.0191772972972291	12917000	26
20220423 182504	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	571	TRUE	0.010021979529854	0.345520445565458	3395	18	0.0122271128429796	13457000	27
20220423 182858	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	815	TRUE	0.0102169537833835	0.999070923308167	4108	296	0.0139712836308979	13693000	28
20220423 183059	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	466	TRUE	0.0101770707274266	0.998111921401999	4630	17	0.0135935293482551	13386000	29
20220423 183356	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	416	TRUE	0.0101993389628078	0.998939116196375	3740	482	0.0135539602444257	13306000	30
20220423 183739	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	823	TRUE	0.0106511223740343	0.216514478919252	4026	235	0.0151596292908734	13567000	31
20220423 184040	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	497	TRUE	0.0100735843927327	0.824489347438276	4114	242	0.0146185798501572	13607000	32
20220423 184102	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	31	TRUE	0.15264020596718	0.999410205963358	4114	270	0.014646718889424	12917000	33
20220423 184400	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	491	TRUE	0.0102826031762048	0.997672843441633	4174	255	0.00836381748990169	11645000	34
20220423 184414	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	21	TRUE	0.292889286558838	0.200060735235966	7704	1024	0.0222238642862242	12024000	35
20220423 184433	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	53	TRUE	0.222917519558938	0.235690388518884	7414	1006	0.0145080618447941	13047000	36
20220423 184632	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	465	TRUE	0.0278042336127408	0.384141741103699	5629	251	0.0138601765035392	13205000	37
20220423 184846	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	620	TRUE	0.0105791420078398	0.279570274274483	1337	16	0.0145313410522551	13723000	38
20220423 185155	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	425	TRUE	0.0113662067125287	0.999896665291297	2932	283	0.0165355533089359	13921000	39
20220423 185229	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	93	TRUE	0.0623824805399233	0.999884825925038	6419	341	0.0188917307572632	13163000	40
20220423 185249	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	64	TRUE	0.247020450371491	0.202366708033899	6195	372	0.0163911643902877	12857000	41
20220423 185506	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	494	TRUE	0.0100337972035945	0.363950906712659	2898	17	0.0200071235306246	13448000	42
20220423 185624	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	213	TRUE	0.0616586530704369	0.203290622877229	2174	138	0.0134669477664123	13258000	43
20220423 185639	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	24	TRUE	0.243561479735046	0.999331345411558	7835	823	0.017908148555367	13212000	44
20220423 190250	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	221	TRUE	0.0102396144316288	0.978563979555565	717	227	0.0151122636146771	13523000	45
20220423 190747	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	786	TRUE	0.0100610491996336	0.40470793053989	2891	62	0.0159829407352599	13731000	46
20220423 190815	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	63	TRUE	0.0801890159391339	0.289275022215829	7168	1024	0.0173481791623741	13208000	47
20220423 191255	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	433	TRUE	0.010073499996337	0.328588175207031	1732	326	0.0167691146997616	13906000	48
20220423 192950	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	153	TRUE	0.0101622012739352	0.278202484077981	0	336	0.0161599452776025	3201000	49
20220423 193156	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	277	TRUE	0.0101185746249419	0.990727048055065	1558	30	0.0146090407627388	13918000	50
20220423 193602	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	279	TRUE	0.0108536490969352	0.978290385637935	1440	336	0.0160749244819723	13695000	51
20220423 193720	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	255	TRUE	0.0181273369957641	0.393915903847152	1806	17	0.0147252234041455	13687000	52
20220423 194201	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	833	TRUE	0.0100252055708924	0.332997238134218	3145	346	0.0163716349546678	13643000	53
