fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 234301	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	31	TRUE	0.186780767812859	0.361497150305659	3312	700	0.0404502933364711	31389000	1
20220425 234334	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	26	TRUE	0.154864319614135	0.648886037440971	1933	309	0.0313862302243554	32400000	2
20220425 234356	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	18	TRUE	0.221298811851302	0.610734502086416	3805	632	0.024799280015092	35316000	3
20220425 234642	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	18	TRUE	0.0760365364773897	0.226854217508808	72	493	0.0173537353800687	31191000	4
20220425 234714	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	58	TRUE	0.103806696530781	0.479965064907447	5084	407	0.026225090061295	34582000	5
20220425 234810	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	74	TRUE	0.0462586384871975	0.950929832085967	2470	47	0.0378659007469347	32206000	6
20220425 234835	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	43	TRUE	0.183154364185291	0.484095132928342	6476	588	0.0418625106482068	31739000	7
20220425 234853	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	28	TRUE	0.241327304068371	0.746233126670122	4466	183	0.0482635209778285	29925000	8
20220425 234944	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	36	TRUE	0.0952695414626505	0.851742425942793	1407	900	0.0147278768054093	36187000	9
20220425 235036	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	153	TRUE	0.0543449970671209	0.333605112330988	6300	987	0.0205579341442596	35822000	10
20220425 235100	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	47	TRUE	0.20066968854575	0.587859424836934	5968	71	0.0273153073751018	34570000	11
20220425 235117	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	36	TRUE	0.261010928269126	0.80350543666631	7164	770	0.0133196844709649	36152000	12
20220425 235342	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	334	TRUE	0.0264749849962536	0.556929580485448	3110	561	0.0100420027500756	35934000	13
