fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220423 111439	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	101	TRUE	0,078262551	0,948851908	527	350	0,004396969	0,098493943	55,01614114	0,012386603	13970000	139
20220423 110441	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	161	TRUE	0,057117351	0,229011663	5970	19	0,001077404	3,361183753	19,07959988	0,014770418	13961000	128
20220423 111124	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	1713	TRUE	0,010595725	0,242960871	4610	212	0,021969381	3,82922682	15,16758911	0,015174928	13855000	134
20220423 114735	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	825	TRUE	0,015168384	0,442734343	262	891	0,006032462	1,006853426	57,87289974	0,013854072	13823000	200
20220423 120021	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	76	TRUE	0,072891663	0,440259464	302	940	0,251443294	0,048822858	35,82782282	0,015167057	13816000	231
20220423 111151	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	78	TRUE	0,068598438	0,22238311	5664	892	0,01837355	0,115264566	2,215659994	0,017331016	13784000	135
20220423 105243	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	169	TRUE	0,073780896	0,208150283	5290	391	0,039675623	5,317871155	23,00692107	0,013937555	13769000	99
20220423 102656	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	311	TRUE	0,047861358	0,24914104	2643	352	0,112963972	5,628443694	78,08914084	0,016695321	13762000	62
20220423 111538	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	151	TRUE	0,10206749	0,991163355	677	388	0,027039284	0,022532466	54,123297	0,013167436	13718000	140
20220423 112020	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	136	TRUE	0,077991107	0,860322642	923	348	0,015444931	0,132947076	55,671033	0,012440113	13704000	146
20220423 112838	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	90	TRUE	0,275993128	0,418072943	5335	32	0,063748355	1,058647714	74,23694795	0,014974438	13677000	163
20220423 111638	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	128	TRUE	0,041270003	0,853620231	731	124	0,059914845	1,291599833	62,1520476	0,011895922	13642000	141
20220423 105445	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	33	TRUE	0,247515539	0,955939912	1288	700	0,042754876	1,318020335	99,25425577	0,013302756	13634000	107
20220423 120135	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	125	TRUE	0,054814942	0,443743004	1003	985	0,073979611	0,261696389	59,63575581	0,015089442	13632000	234
