fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220419 190834	0	0	0	1	auto	depthwise	256	0	1	0.218749631669023	0.205137917436659	5	17	0.0386822014819093	15	6867000	1
20220419 191430	0	0	0	1	auto	depthwise	256	0	1	0.168540880386136	0.77423717523925	2	14	0.0154799642036475	29	10888000	2
20220419 191930	0	0	0	1	auto	depthwise	256	0	1	0.195304027869133	0.620156690832228	7	24	0.0231224574963562	12	10788000	3
20220419 192505	0	0	0	1	auto	depthwise	256	0	1	0.125958443628857	0.642539213467389	6	15	0.0407350254245102	31	7914000	4
20220419 192753	0	0	0	1	auto	depthwise	256	0	1	0.27758229316643	0.366392598049715	6	23	0.0301732614262922	9	8590000	5
20220419 195133	0	0	0	1	auto	depthwise	256	0	1	0.0203716184073128	0.59980661727488	4	28	0.0125237116449474	66	13395000	6
20220419 195709	0	0	0	1	auto	depthwise	256	0	1	0.134561893917504	0.757508053220808	9	11	0.016688123709658	61	13103000	7
20220419 200038	0	0	0	1	auto	depthwise	256	0	1	0.0610793951459927	0.699258101722225	0	3	0.0477088093903149	131	7812000	8
20220419 200508	0	0	0	1	auto	depthwise	256	0	1	0.144183208871866	0.546655949056149	3	18	0.0202740477485349	14	10889000	9
20220419 201703	0	0	0	1	auto	depthwise	256	0	1	0.0913997903144918	0.994353533703834	4	21	0.0331922260937669	43	8803000	10
20220419 201921	0	0	0	1	auto	depthwise	256	0	1	0.267261196091073	0.474070203118026	7	5	0.0253123164822076	88	10093000	11
20220419 202429	0	0	0	1	auto	depthwise	256	0	1	0.233563784066006	0.942982342764735	10	19	0.0341649188873513	11	8873000	12
20220419 202605	0	0	0	1	auto	depthwise	256	0	1	0.109850663716206	0.3067731800396	3	2	0.0209053965261167	159	12549000	13
20220419 204139	0	0	0	1	auto	depthwise	256	0	1	0.0354251575159142	0.822411500830203	8	7	0.0356563803182022	319	10836000	14
20220419 204354	0	0	0	1	auto	depthwise	256	0	1	0.293222599566565	0.343463378958404	0	12	0.0116211218051224	1	8808000	15
20220419 204838	0	0	0	1	auto	depthwise	256	0	1	0.207705505152931	0.51118299591355	2	28	0.0432893112374586	7	5863000	16
20220419 205154	0	0	0	1	auto	depthwise	256	0	1	0.253858273472404	0.409676001658663	9	26	0.0085771666985238	18	10868000	17
20220419 205524	0	0	0	1	auto	depthwise	256	0	1	0.0812332797636045	0.244883756237105	5	9	0.0484345471248768	103	7251000	18
20220419 211556	0	0	0	1	auto	depthwise	256	0	1	0.0439606459558709	0.850385357392952	9	29	0.0441299987971433	103	7734000	19
20220419 212031	0	0	0	1	auto	depthwise	256	0	1	0.17536401017732	0.914660090338439	1	7	0.0290430192825928	51	8283000	20
20220419 213950	0	0	0	1	auto	depthwise	256	0	1	0.0100833755023994	0.56024481854302	8	2	0.0132608603157296	1621	13232000	21
20220419 214138	0	0	0	1	auto	depthwise	256	0	1	0.0725219059163349	0.315418173831771	10	2	0.0181208851848683	154	13397000	22
20220419 214600	0	0	0	1	auto	depthwise	256	0	1	0.0604193515134528	0.665075313402134	7	4	0.0163879372068428	143	13800000	23
20220419 220100	0	0	0	1	auto	depthwise	256	0	1	0.0442946762358095	0.816261955950681	9	30	0.0123293614288467	59	13173000	24
20220419 220452	0	0	0	1	auto	depthwise	256	0	1	0.0433855287390342	0.244324093742807	6	8	0.0154247426119199	107	13524000	25
20220419 220641	0	0	0	1	auto	depthwise	256	0	1	0.0788305212065182	0.642277720678408	6	2	0.0105470432666797	78	12720000	26
20220419 223524	0	0	0	1	auto	depthwise	256	0	1	0.010020440325833	0.701748931725451	7	8	0.0179738048058389	459	13610000	27
20220419 224059	0	0	0	1	auto	depthwise	256	0	1	0.0345141773959689	0.46163360732115	6	2	0.0174803471290616	550	13131000	28
20220419 224801	0	0	0	1	auto	depthwise	256	0	1	0.0538942438958591	0.759564454982825	9	9	0.0153956491767422	71	13424000	29
20220419 231026	0	0	0	1	auto	depthwise	256	0	1	0.0104109610980398	0.211534943212105	7	29	0.013728680310033	366	13632000	30
20220419 231233	0	0	0	1	auto	depthwise	256	0	1	0.0888952726967474	0.203344549284289	8	6	0.016587499575476	93	13527000	31
20220420 000212	0	0	0	1	auto	depthwise	256	0	1	0.0101121612311599	0.638316375525872	8	30	0.0147990664073738	324	13847000	32
20220420 005039	0	0	0	1	auto	depthwise	256	0	1	0.0100467175030477	0.667432797162689	7	28	0.013826480676624	237	13646000	33
20220420 005327	0	0	0	1	auto	depthwise	256	0	1	0.0662343621131218	0.66779265938288	10	2	0.0180797785967176	172	13148000	34
20220420 010522	0	0	0	1	auto	depthwise	256	0	1	0.0107386833488999	0.202872078892154	3	9	0.0143133298754943	303	13641000	35
20220420 011149	0	0	0	1	auto	depthwise	256	0	1	0.0464635627190917	0.362516028317562	8	17	0.0159377711258611	62	13091000	36
20220420 014138	0	0	0	1	auto	depthwise	256	0	1	0.0100311475178119	0.248884303109701	3	30	0.0150634852563432	291	12817000	37
20220420 020400	0	0	0	1	auto	depthwise	256	0	1	0.0132582667011188	0.418515628012574	10	30	0.0129685525986708	205	13894000	38
20220420 020909	0	0	0	1	auto	depthwise	256	0	1	0.0506568678327419	0.201846258383534	10	30	0.0138808794957568	100	13377000	39
20220420 023447	0	0	0	1	auto	depthwise	256	0	1	0.0102027366487965	0.616182820250185	4	8	0.0143251590016721	422	13828000	40
20220420 023841	0	0	0	1	auto	depthwise	256	0	1	0.0679124069668652	0.581560999501846	7	7	0.0156403428672179	51	13428000	41
20220420 030700	0	0	0	1	auto	depthwise	256	0	1	0.0100047661348301	0.313977115654626	9	30	0.0113812140817602	397	13393000	42
20220420 033021	0	0	0	1	auto	depthwise	256	0	1	0.0103182001648633	0.713622615609435	4	3	0.0152938835307397	1246	13297000	43
20220420 034959	0	0	0	1	auto	depthwise	256	0	1	0.0101655028407722	0.200126160473598	10	27	0.0186093772505449	428	13273000	44
20220420 035611	0	0	0	1	auto	depthwise	256	0	1	0.0102054266611183	0.200275579451737	7	2	0.0169854141922029	669	13406000	45
20220420 044052	0	0	0	1	auto	depthwise	256	0	1	0.0101746384325426	0.609153663698875	10	30	0.0135594668958205	373	13922000	46
20220420 052000	0	0	0	1	auto	depthwise	256	0	1	0.0102590002872605	0.494233316385292	10	30	0.0138591619835176	412	13921000	47
20220420 055215	0	0	0	1	auto	depthwise	256	0	1	0.0102252889190904	0.685138570047538	5	11	0.0129186476272765	335	13921000	48
20220420 061005	0	0	0	1	auto	depthwise	256	0	1	0.0101305465387565	0.224309593679283	7	5	0.0133276370163713	1317	13769000	49
20220420 062401	0	0	0	1	auto	depthwise	256	0	1	0.010021344078139	0.200006067360036	8	10	0.0146306104579694	409	13898000	50
20220420 062511	0	0	0	1	auto	depthwise	256	0	1	0.134807506180974	0.203735925949512	9	2	0.01670493226463	111	13185000	51
20220420 064129	0	0	0	1	auto	depthwise	256	0	1	0.0104824775682506	0.256547269857074	9	9	0.0165974593571255	522	13926000	52
20220420 064346	0	0	0	1	auto	depthwise	256	0	1	0.0574048902002084	0.200409222111891	9	5	0.0215037125953313	112	12396000	53
20220420 064944	0	0	0	1	auto	depthwise	256	0	1	0.0503848378182578	0.703618537434768	1	7	0.0127650771319099	61	13064000	54
20220420 071940	0	0	0	1	auto	depthwise	256	0	1	0.0100217990001287	0.654600911821448	7	10	0.0163550241133788	368	13627000	55
20220420 072325	0	0	0	1	auto	depthwise	256	0	1	0.0915011447520819	0.999874083225941	7	4	0.017895855615041	73	13072000	56
20220420 074229	0	0	0	1	auto	depthwise	256	0	1	0.0100198778359342	0.227070088248194	10	9	0.0138880539471016	812	13572000	57
20220420 081643	0	0	0	1	auto	depthwise	256	0	1	0.0100240083131989	0.718078209564223	5	8	0.012559198934923	607	13866000	58
20220420 085812	0	0	0	1	auto	depthwise	256	0	1	0.0123690014239697	0.775058016087686	10	30	0.0167702323479248	239	14062000	59
20220420 090453	0	0	0	1	auto	depthwise	256	0	1	0.125620988143601	0.80412007610381	10	30	0.0169919769915207	18	12978000	60
20220420 094454	0	0	0	1	auto	depthwise	256	0	1	0.0104946587060622	0.650064851694882	10	30	0.0168016810269081	259	13889000	61
20220420 100244	0	0	0	1	auto	depthwise	256	0	1	0.0102199328787192	0.30115012348266	4	9	0.0128195530196191	458	13500000	62
20220420 103040	0	0	0	1	auto	depthwise	256	0	1	0.01003337137592	0.299346220953821	10	30	0.0146469395047475	465	13545000	63
20220420 113124	0	0	0	1	auto	depthwise	256	0	1	0.0100808672078921	0.863056194687572	9	30	0.0184362487734925	319	13322000	64
20220420 114947	0	0	0	1	auto	depthwise	256	0	1	0.0100921715093636	0.200330588382697	8	22	0.0130717893186434	313	13774000	65
20220420 120821	0	0	0	1	auto	depthwise	256	0	1	0.0155143189655315	0.803946665246182	6	6	0.0136953627842753	361	13798000	66
20220420 121706	0	0	0	1	auto	depthwise	256	0	1	0.0347710714258333	0.675196575926149	5	7	0.0135837095654474	152	13779000	67
20220420 125302	0	0	0	1	auto	depthwise	256	0	1	0.0100221193823481	0.746686846701255	4	12	0.00835440473304797	288	12611000	68
20220420 130938	0	0	0	1	auto	depthwise	256	0	1	0.011233846802625	0.200054333409872	9	12	0.01782555938441	554	13211000	69
20220420 131515	0	0	0	1	auto	depthwise	256	0	1	0.0503972445564128	0.793660676547396	7	5	0.0169867748706873	113	13645000	70
20220420 133502	0	0	0	1	auto	depthwise	256	0	1	0.0104158235660552	0.290961345170944	8	5	0.0164001069430147	1300	13665000	71
20220420 142728	0	0	0	1	auto	depthwise	256	0	1	0.0100619161743528	0.760340017874888	10	29	0.0148523683953432	339	14100000	72
20220420 150259	0	0	0	1	auto	depthwise	256	0	1	0.0100268943126423	0.429714709322932	9	26	0.0135608761515493	360	13757000	73
20220420 155738	0	0	0	1	auto	depthwise	256	0	1	0.0103807911327042	0.830068594253008	10	30	0.015775726515549	325	13866000	74
20220420 163505	0	0	0	1	auto	depthwise	256	0	1	0.013113418514494	0.756998457586137	10	25	0.0167721903461772	189	13872000	75
20220420 170621	0	0	0	1	auto	depthwise	256	0	1	0.0100688910591796	0.624470577980969	3	11	0.0129114158306329	271	14071000	76
20220420 180300	0	0	0	1	auto	depthwise	256	0	1	0.0101347494911239	0.743983453411178	10	30	0.0158538466980891	329	14005000	77
20220420 190049	0	0	0	1	auto	depthwise	256	0	1	0.0100475086738129	0.741853519674519	3	16	0.0130568631542404	210	13792000	78
20220420 194722	0	0	0	1	auto	depthwise	256	0	1	0.0203506146583269	0.757201401499337	10	29	0.0167825764763354	179	13653000	79
20220420 195130	0	0	0	1	auto	depthwise	256	0	1	0.0967245512214552	0.771885311159457	7	2	0.0167147275689731	154	13580000	80
20220420 195747	0	0	0	1	auto	depthwise	256	0	1	0.121095274779227	0.426986230980401	10	30	0.0124458745046057	22	12459000	81
20220420 205236	0	0	0	1	auto	depthwise	256	0	1	0.0101217698265474	0.999631256482083	8	9	0.0128880450133608	313	13567000	82
20220420 205620	0	0	0	1	auto	depthwise	256	0	1	0.0559038705184504	0.226587103337003	9	6	0.0164667499564128	102	13572000	83
20220420 214635	0	0	0	1	auto	depthwise	256	0	1	0.0100419376427048	0.788024694248762	8	16	0.0129755705077961	268	13882000	84
20220420 215408	0	0	0	1	auto	depthwise	256	0	1	0.064273897888904	0.999945746052757	5	6	0.0129117809315218	100	13358000	85
20220420 224109	0	0	0	1	auto	depthwise	256	0	1	0.0100534742428134	0.773519939386243	9	8	0.0236127374553344	818	13156000	86
20220420 224734	0	0	0	1	auto	depthwise	256	0	1	0.193824527545086	0.999595717613981	10	30	0.0122158253470056	10	12149000	87
20220420 232020	0	0	0	1	auto	depthwise	256	0	1	0.0100096884733469	0.445596710298303	10	30	0.0214548570199562	337	12884000	88
20220420 232314	0	0	0	1	auto	depthwise	256	0	1	0.113841223003614	0.246878565737487	10	30	0.0186060048653768	27	12271000	89
20220420 233258	0	0	0	1	auto	depthwise	256	0	1	0.0103782089470733	0.200038613487784	3	9	0.00909782518351744	148	12818000	90
20220421 000247	0	0	0	1	auto	depthwise	256	0	1	0.0100199059459307	0.518500329013623	0	12	0.0126065195860986	238	10972000	91
20220421 002450	0	0	0	1	auto	depthwise	256	0	1	0.010633220058655	0.656741567447044	3	9	0.0126702034180082	195	13855000	92
20220421 010220	0	0	0	1	auto	depthwise	256	0	1	0.0103811150261988	0.625322434747987	3	17	0.0131402703524125	236	13909000	93
20220421 010726	0	0	0	1	auto	depthwise	256	0	1	0.0569470879928973	0.62072313118187	3	10	0.0132017537624111	18	13087000	94
20220421 013817	0	0	0	1	auto	depthwise	256	0	1	0.0101395794856428	0.61039904579347	3	12	0.0167268708368321	292	13399000	95
20220421 013931	0	0	0	1	auto	depthwise	256	0	1	0.107552819910819	0.410663534348446	9	2	0.0168328645588248	76	13193000	96
20220421 023622	0	0	0	1	auto	depthwise	256	0	1	0.01005137833093	0.781893324582277	10	30	0.0133055644794063	399	13779000	97
20220421 032518	0	0	0	1	auto	depthwise	256	0	1	0.0100556444940501	0.765555515680147	10	21	0.0146592303505693	338	13884000	98
20220421 032813	0	0	0	1	auto	depthwise	256	0	1	0.0717693674627466	0.631409511432866	7	2	0.0209909467581219	204	12771000	99
20220421 033316	0	0	0	1	auto	depthwise	256	0	1	0.108600629312052	0.962685483523906	8	7	0.0126447251622721	59	13158000	100
20220421 034422	0	0	0	1	auto	depthwise	256	0	1	0.0425729101215046	0.41755669040932	8	30	0.0124149744768869	109	13154000	101
20220421 043333	0	0	0	1	auto	depthwise	256	0	1	0.0102239344202219	0.78458869872896	7	21	0.0147516374092999	261	13679000	102
20220421 050813	0	0	0	1	auto	depthwise	256	0	1	0.0100703246892804	0.940383789874445	2	11	0.0126039863718294	151	13327000	103
20220421 051445	0	0	0	1	auto	depthwise	256	0	1	0.0448830369005285	0.909956213264666	7	4	0.0123958546843579	177	13428000	104
20220421 052211	0	0	0	1	auto	depthwise	256	0	1	0.127102710238235	0.785706143775251	7	30	0.0129544417862542	14	13269000	105
20220421 052351	0	0	0	1	auto	depthwise	256	0	1	0.120711344245429	0.200537198557042	5	2	0.014528257606638	227	13085000	106
20220421 053527	0	0	0	1	auto	depthwise	256	0	1	0.0827887698588667	0.999465277249518	8	30	0.0141308697703922	29	13190000	107
20220421 060046	0	0	0	1	auto	depthwise	256	0	1	0.0100781591628364	0.784120482057589	9	7	0.0172785896444929	386	13615000	108
20220421 063504	0	0	0	1	auto	depthwise	256	0	1	0.0104530262755676	0.615654799875675	6	12	0.0129175307582033	437	13774000	109
20220421 065559	0	0	0	1	auto	depthwise	256	0	1	0.0101353410366868	0.413838722456922	10	9	0.0165548661404562	486	13585000	110
20220421 070053	0	0	0	1	auto	depthwise	256	0	1	0.0673522256129638	0.762824249046552	7	6	0.013625082744955	82	13455000	111
20220421 070310	0	0	0	1	auto	depthwise	256	0	1	0.0931500838752541	0.200273651547125	9	9	0.00863220257336016	67	12001000	112
20220421 075622	0	0	0	1	auto	depthwise	256	0	1	0.010439421058942	0.774189622603027	5	30	0.0145978367921505	156	13590000	113
20220421 080718	0	0	0	1	auto	depthwise	256	0	1	0.125427138930448	0.999876210183922	6	30	0.00931628278830844	32	11757000	114
20220421 080906	0	0	0	1	auto	depthwise	256	0	1	0.13208181521099	0.638396864759754	7	3	0.0165219544002026	60	13237000	115
20220421 081621	0	0	0	1	auto	depthwise	256	0	1	0.136636424626483	0.939495606149307	8	22	0.0145651476563214	15	12551000	116
20220421 083610	0	0	0	1	auto	depthwise	256	0	1	0.010097714947043	0.204396832007582	4	18	0.0133598311652343	345	13146000	117
20220421 092558	0	0	0	1	auto	depthwise	256	0	1	0.0124077230275933	0.784950099256689	2	30	0.0131946091272634	103	13223000	118
20220421 093303	0	0	0	1	auto	depthwise	256	0	1	0.0974446763182535	0.686892474550905	8	30	0.0146949438929618	17	13291000	119
20220421 095029	0	0	0	1	auto	depthwise	256	0	1	0.0100531527734287	0.567359526029483	10	2	0.0283047498081275	1579	11549000	120
