fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220422 174013	0	0	0	1	hist	lossguide	256	0	1	0.164949493400985	0.701831553047523	5	291	0.0362983336381149	128	10271000	1
20220422 174111	0	0	0	1	hist	lossguide	256	0	1	0.141275106055546	0.32401348403655	7	450	0.032688185381024	143	10653000	2
20220422 174216	0	0	0	1	hist	lossguide	256	0	1	0.215007223100169	0.774876132979989	1	863	0.0273239340186895	241	11861000	3
20220422 174358	0	0	0	1	hist	lossguide	256	0	1	0.0821067750641378	0.728197482870892	1	191	0.0375295189505171	392	10589000	4
20220422 174508	0	0	0	1	hist	lossguide	256	0	1	0.10275988391554	0.597305729221553	8	349	0.0412739537277957	241	9411000	5
20220422 174715	0	0	0	1	hist	lossguide	256	0	1	0.0512307045274647	0.414169151308015	7	141	0.0171786972127544	500	13064000	6
20220422 174750	0	0	0	1	hist	lossguide	256	0	1	0.262997651001788	0.452938060946763	4	631	0.0303189266409997	99	11243000	7
20220422 174844	0	0	0	1	hist	lossguide	256	0	1	0.200488371346262	0.809040877409279	0	524	0.024330256425795	178	12182000	8
20220422 174949	0	0	0	1	hist	lossguide	256	0	1	0.194138901314349	0.521146070510149	9	30	0.0205864036295679	239	13456000	9
20220422 175053	0	0	0	1	hist	lossguide	256	0	1	0.122661795918131	0.615980673022568	6	767	0.0144960141284779	232	13079000	10
20220422 175213	0	0	0	1	hist	lossguide	256	0	1	0.0646450131864985	0.298054309049621	5	250	0.0432105505087141	285	8871000	11
20220422 175344	0	0	0	1	hist	lossguide	256	0	1	0.0861968118390068	0.846439759992063	10	408	0.0228452696639579	371	12661000	12
20220422 175433	0	0	0	1	hist	lossguide	256	0	1	0.136525342490873	0.2321170763392	0	683	0.0441576712352495	156	9335000	13
20220422 175456	0	0	0	1	hist	lossguide	256	0	1	0.231179403212387	0.928965881513432	3	493	0.0466766452795127	28	8890000	14
20220422 175530	0	0	0	1	hist	lossguide	256	0	1	0.272565477459342	0.640579175231978	8	957	0.0481960014449821	87	7528000	15
20220422 175616	0	0	0	1	hist	lossguide	256	0	1	0.251873285982641	0.394333927156404	8	611	0.0119700494523083	156	13026000	16
20220422 175650	0	0	0	1	hist	lossguide	256	0	1	0.293262080163346	0.966120454762131	3	780	0.010331498265441	93	12135000	17
20220422 180044	0	0	0	1	hist	lossguide	256	0	1	0.0237481213860447	0.881527685103938	2	919	0.0344801230448259	985	10829000	18
20220422 180407	0	0	0	1	hist	lossguide	256	0	1	0.0282440520171076	0.248210772620514	9	1011	0.0146945085910071	801	12915000	19
20220422 180518	0	0	0	1	hist	lossguide	256	0	1	0.172339775699889	0.493455652296543	2	84	0.02553990521313	250	12017000	20
20220422 180706	0	0	0	1	hist	lossguide	256	0	1	0.220938622761258	0.554419530627979	10	5	0.0171486813320617	463	13572000	21
20220422 180841	0	0	0	1	hist	lossguide	256	0	1	0.204363282311526	0.467096252542309	10	351	0.0181944040947831	370	13562000	22
20220422 180950	0	0	0	1	hist	lossguide	256	0	1	0.257824485713811	0.614763470482698	10	164	0.0178529959328307	262	13346000	23
20220422 181027	0	0	0	1	hist	lossguide	256	0	1	0.181567484222902	0.380427527585353	10	2	0.0175882071293955	95	13303000	24
20220422 181133	0	0	0	1	hist	lossguide	256	0	1	0.143229052271978	0.53302337833205	10	397	0.015942561643075	226	13209000	25
20220422 181304	0	0	0	1	hist	lossguide	256	0	1	0.211059714739797	0.512071236698516	8	758	0.0182467283472239	384	13548000	26
20220422 181409	0	0	0	1	hist	lossguide	256	0	1	0.207856167839373	0.386558879738981	3	1020	0.017684287270785	315	13299000	27
20220422 181528	0	0	0	1	hist	lossguide	256	0	1	0.211519772311613	0.457517000418432	7	552	0.0186518550640346	369	13536000	28
20220422 181704	0	0	0	1	hist	lossguide	256	0	1	0.205162102572186	0.69820643104768	8	2	0.0182139843131802	453	13560000	29
20220422 181817	0	0	0	1	hist	lossguide	256	0	1	0.212180926651727	0.551891349795286	9	130	0.0181879080710213	321	13566000	30
20220422 181911	0	0	0	1	hist	lossguide	256	0	1	0.210770403011037	0.449924786909641	10	1022	0.019099398905646	217	13520000	31
20220422 182013	0	0	0	1	hist	lossguide	256	0	1	0.214725332614442	0.517451971618261	10	516	0.0188205607459853	261	13408000	32
20220422 182106	0	0	0	1	hist	lossguide	256	0	1	0.216720962469077	0.490906450418301	8	8	0.0177787700483633	204	13211000	33
20220422 182211	0	0	0	1	hist	lossguide	256	0	1	0.188340737532257	0.754771777305241	10	6	0.0186697000543889	275	13529000	34
20220422 182316	0	0	0	1	hist	lossguide	256	0	1	0.196202629709084	0.398575992298788	8	816	0.0188258383936418	280	13060000	35
20220422 182411	0	0	0	1	hist	lossguide	256	0	1	0.23257673361382	0.510008545854164	6	1024	0.0175604729628526	226	13214000	36
20220422 182524	0	0	0	1	hist	lossguide	256	0	1	0.196863227593372	0.583776862270758	8	334	0.0186038441519589	323	13674000	37
20220422 182600	0	0	0	1	hist	lossguide	256	0	1	0.179299156549527	0.273728149750704	0	726	0.011407889874677	109	12185000	38
20220422 182701	0	0	0	1	hist	lossguide	256	0	1	0.21398137966619	0.56465532636852	3	638	0.0179295886311088	248	13017000	39
20220422 182806	0	0	0	1	hist	lossguide	256	0	1	0.197467500168023	0.776707710454261	7	372	0.0185113243061952	273	13552000	40
20220422 183603	0	0	0	1	hist	lossguide	256	0	1	0.0102878486006843	0.709088131283329	9	2	0.0188732486399369	2178	12972000	41
20220422 183735	0	0	0	1	hist	lossguide	256	0	1	0.209574691654078	0.734606565824541	10	1024	0.016606101365226	428	13652000	42
20220422 183817	0	0	0	1	hist	lossguide	256	0	1	0.213718696819978	0.542831650948594	10	1024	0.0144516741978412	143	13346000	43
20220422 183928	0	0	0	1	hist	lossguide	256	0	1	0.204498219691151	0.714155020717473	9	1024	0.0182621134123782	310	13600000	44
20220422 184048	0	0	0	1	hist	lossguide	256	0	1	0.21366332766983	0.71737257647328	8	673	0.0177619579054601	364	13617000	45
20220422 184639	0	0	0	1	hist	lossguide	256	0	1	0.0180431277225722	0.691838138891896	10	1024	0.0181995276175683	1701	13113000	46
20220422 184816	0	0	0	1	hist	lossguide	256	0	1	0.21262405149742	0.999374271863773	10	1024	0.0171765773304977	466	13703000	47
20220422 185444	0	0	0	1	hist	lossguide	256	0	1	0.0101068978083815	0.444784495798611	2	1024	0.0171511338230128	1728	12858000	48
20220422 185539	0	0	0	1	hist	lossguide	256	0	1	0.24906965794073	0.877426790968703	10	1024	0.0185403782197245	234	13362000	49
20220422 185619	0	0	0	1	hist	lossguide	256	0	1	0.20328026981875	0.997656280192128	9	1024	0.00977886731212285	127	12230000	50
20220422 185708	0	0	0	1	hist	lossguide	256	0	1	0.204892865927694	0.582599034955201	7	559	0.0169427946646789	191	13267000	51
20220422 185803	0	0	0	1	hist	lossguide	256	0	1	0.1733498517139	0.659369521234906	10	61	0.0146267185250552	216	13169000	52
20220422 185844	0	0	0	1	hist	lossguide	256	0	1	0.148456805626164	0.990641966301915	9	750	0.0174897243897892	131	12843000	53
20220422 185932	0	0	0	1	hist	lossguide	256	0	1	0.213598209111668	0.663837901806727	7	315	0.020924382272493	182	13418000	54
20220422 190031	0	0	0	1	hist	lossguide	256	0	1	0.119091090125402	0.638656451495564	7	273	0.0185802716657333	224	13097000	55
20220422 190537	0	0	0	1	hist	lossguide	256	0	1	0.0128153807046635	0.205827733702523	9	394	0.0181371145926722	1348	13166000	56
20220422 190834	0	0	0	1	hist	lossguide	256	0	1	0.0237614010242351	0.461370269119181	5	561	0.0126896281781626	779	12909000	57
20220422 190943	0	0	0	1	hist	lossguide	256	0	1	0.207519535911325	0.459047932883604	8	674	0.0186386885912331	313	13506000	58
20220422 191024	0	0	0	1	hist	lossguide	256	0	1	0.248310181882616	0.926093823062746	10	2	0.0134992979251737	143	13101000	59
20220422 191202	0	0	0	1	hist	lossguide	256	0	1	0.0598296475537002	0.698045032085717	10	391	0.0149257798566087	424	13350000	60
