Feature	Gain	Cover	Frequency
mpasivos_margen	0.0656986442741894	0.0256984438699064	0.0308313984640114
ctrx_quarter	0.0642000151493257	0.0241272450982981	0.0267681728880157
ctrx_quarter_normalizado	0.0493992143963515	0.0220386533006367	0.0214323986426148
mpayroll_sobre_edad	0.0424988437866757	0.0325122018735835	0.0125915342025362
mcaja_ahorro	0.0380682185246755	0.0164933036542873	0.023597963922129
cpayroll_trx	0.0289486082726641	0.0129872050179953	0.00346043936417217
mtarjeta_visa_consumo	0.0255776286253183	0.0131740646912362	0.0154268619396321
mcuentas_saldo	0.0228901101000306	0.0274903137852183	0.0238658689051616
mpayroll	0.0221440503649887	0.0228416986374677	0.00973388105018753
mactivos_margen	0.0205994855196377	0.0182063635251229	0.0176594034649044
mrentabilidad_annual	0.0190807665720449	0.0171077241816352	0.0173021968208609
mprestamos_personales	0.0166126957997362	0.0217204985452959	0.00591623504197178
Master_fechaalta	0.0162414185107013	0.0192791350503755	0.0202714770494731
mvr_msaldopesos	0.0159489705056397	0.00921027711791479	0.0108501518128237
Master_Fvencimiento	0.0149193244975791	0.0148477944799491	0.0191105554563315
mvr_msaldototal	0.0145907158941626	0.00736307767542094	0.00957760314341847
cliente_edad	0.0142611776770323	0.0162177461544437	0.0192221825325951
chomebanking_trx	0.0141015957027426	0.0125150046554633	0.0147794248973031
ctarjeta_visa_trx	0.0137782209314998	0.013337369446205	0.0136408287194142
mv_fechaalta	0.0132381459946637	0.00956453252163031	0.0141543132702268
Visa_Fvencimiento	0.0129156526063373	0.0091879934859162	0.0149357028040722
mcuenta_corriente	0.0125508060293594	0.00847667269372814	0.0112073584568673
mv_Fvencimiento	0.0117835022208339	0.00925943244221169	0.0144891944990177
numero_de_cliente	0.0117072909614931	0.00952223502659456	0.0142659403464904
mcomisiones_otras	0.0116868422555612	0.00931956568470164	0.0152036077871048
cliente_antiguedad	0.0110520226045684	0.00820018679907418	0.0127031612787998
