Feature	Gain	Cover	Frequency
ctrx_quarter	0.0966848821134373	0.0105038380828087	0.00776531492666091
mcuentas_saldo	0.068222914978505	0.0365447855362333	0.0314926660914582
cpayroll_trx	0.0667723129518488	0.0309435621596525	0.0103537532355479
ctrx_quarter_normalizado	0.0662446973010998	0.0111321303006929	0.00992234685073339
mvr_msaldototal	0.0651637339659119	0.0119865608282956	0.0120793787748059
mjf_coper_mes	0.0591053829409066	0.0201537111997714	0.0185504745470233
mpasivos_margen	0.0516618952855609	0.0193495447146877	0.0150992234685073
mpayroll_sobre_edad	0.0431163199068783	0.0380915812184872	0.0215703192407248
ctarjeta_visa_trx	0.041137907841541	0.0199718760793654	0.0211389128559103
mcaja_ahorro	0.038803766192712	0.0226828255614754	0.0198446937014668
mprestamos_personales	0.0267825870050242	0.0309745220164737	0.0133735979292494
mcuenta_corriente	0.0231882788915336	0.0144582614490739	0.0220017256255393
mpayroll	0.022523186513881	0.0160251843637027	0.00647109577221743
mactivos_margen	0.0210223391836375	0.0316855512094072	0.0232959447799827
Visa_msaldototal	0.0183718046362255	0.0101588318802791	0.0103537532355479
mtarjeta_visa_consumo	0.0151152448042336	0.0133091885246942	0.0120793787748059
mv_msaldopesos	0.0150940778995511	0.00757902116871065	0.00949094046591889
mjf_cproductos	0.0144268451397182	0.0157871825427909	0.0159620362381363
mrentabilidad_annual	0.0126170022363508	0.0306761717528485	0.0284728213977567
mv_msaldototal	0.0122888351729304	0.00545457973682027	0.00819672131147541
mtransferencias_recibidas	0.0106033716193473	0.00708684756944423	0.0103537532355479
cprestamos_personales	0.00819576343917154	0.00966630910969511	0.00560828300258844
mrentabilidad	0.00810350227573833	0.0152014393440288	0.0202761000862813
mautoservicio	0.00730654059452252	0.0106105099203146	0.0107851596203624
mjf_nivel_tec_edad	0.00700465016962643	0.0190131514046572	0.0189818809318378
Visa_fechaalta	0.00691632742708218	0.0140908085189887	0.0176876617773943
mcomisiones_otras	0.00691238313648551	0.0127656451737366	0.0185504745470233
chomebanking_trx	0.00604087877325188	0.0165851637073926	0.0202761000862813
