Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.205267832093442	0.0307957316338682	0.0188106796116505
mjf_coper_mes	0.0777215452816811	0.0442129610830978	0.0342839805825243
mpayroll_sobre_edad	0.0585529835975278	0.0754417400398351	0.03125
ctrx_quarter	0.0542684991006735	0.0125141994635439	0.0191140776699029
mpasivos_margen	0.0504377603862331	0.0225161502067513	0.0321601941747573
cpayroll_trx	0.040675912926329	0.026006862633733	0.00697815533980583
mcuentas_saldo	0.0321208798351897	0.0339455821816581	0.0415655339805825
mactivos_margen	0.030887590181727	0.0238365121567727	0.0257888349514563
mrentabilidad_annual	0.0273361630525834	0.0136738230275297	0.0236650485436893
mtarjeta_visa_consumo	0.0269874318301526	0.0151061292990383	0.0163834951456311
mprestamos_personales	0.0231300263548676	0.0173055999106212	0.00819174757281553
mvr_msaldototal	0.0173785071258329	0.00289582239558537	0.00546116504854369
mcuenta_corriente	0.0157138496293872	0.00701445259124855	0.0112257281553398
mjf_cproductos	0.0149759659195391	0.00848675232652716	0.0142597087378641
mcaja_ahorro	0.0139943538160164	0.0164698486490347	0.0239684466019417
chomebanking_trx	0.0114792166769785	0.00948016686074993	0.0166868932038835
cliente_edad	0.0106944746408312	0.0260914877157375	0.0294296116504854
mrentabilidad	0.010426829180514	0.0113716844033884	0.0188106796116505
Visa_Fvencimiento	0.00989812861502575	0.0037631912595831	0.00940533980582524
Master_fechaalta	0.00924588496289693	0.0162822837212433	0.0233616504854369
mv_fechaalta	0.0090702537589843	0.0126152874454605	0.0130461165048544
Master_Fvencimiento	0.00807643904512021	0.00983548686979246	0.0133495145631068
mcomisiones_otras	0.00780390910997457	0.00924654319027351	0.0182038834951456
numero_de_cliente	0.00755687393492321	0.00910332105791104	0.0166868932038835
ctarjeta_visa_trx	0.00735533406380253	0.0103550960864204	0.00879854368932039
thomebanking	0.00730848758544294	0.00182938666030758	0.00242718446601942
mcomisiones	0.00705430874284959	0.00619803546805214	0.0127427184466019
mv_Fvencimiento	0.00634428706896046	0.0050944605179055	0.0100121359223301
mpayroll	0.00634413357838634	0.016741596929834	0.0136529126213592
mvr_mpagospesos	0.00612126992596257	0.00724619041870098	0.00940533980582524
cliente_antiguedad	0.00605792591070853	0.00961018809194446	0.0130461165048544
Visa_mconsumospesos	0.00605520284818945	0.00608002586765004	0.0115291262135922
mjf_nivel_tec_edad	0.00564372238492469	0.00804179531032634	0.0154733009708738
mcaja_ahorro_dolares	0.0055977388481337	0.0123784867241238	0.0130461165048544
mv_msaldopesos	0.00556472669736736	0.00179149990405986	0.00424757281553398
ccomisiones_mantenimiento	0.00548179803306688	0.0121358415883705	0.00455097087378641
ccaja_ahorro	0.00511685983400211	0.0300430084340677	0.0130461165048544
Master_mfinanciacion_limite	0.00482024247810379	0.00605396385685004	0.0130461165048544
ccomisiones_otras	0.00478891005844066	0.0181931693814255	0.0145631067961165
mtransferencias_recibidas	0.00421748146819202	0.00567547006506226	0.0109223300970874
cproductos	0.00413367870394526	0.00648932176216298	0.00697815533980583
Visa_msaldopesos	0.00410567676491213	0.0342257912717001	0.0182038834951456
ctransferencias_emitidas	0.00404723252509934	0.0053223077322724	0.00697815533980583
ccallcenter_trx	0.00402237078269019	0.00579799889289122	0.00273058252427184
cprestamos_personales	0.00395352300470776	0.00138031816652293	0.00212378640776699
mcomisiones_mantenimiento	0.00385544879232713	0.00362927941530304	0.00455097087378641
mvr_mpagominimo	0.00379847774136516	0.00571373059199943	0.00697815533980583
ctransferencias_recibidas	0.00371247081190999	0.00908468349216945	0.00637135922330097
Visa_mfinanciacion_limite	0.00369955387500269	0.00349849365315283	0.00910194174757281
mtarjeta_visa_debitos_automaticos	0.00352999656777421	0.00347543879744514	0.00819174757281553
mvr_msaldopesos	0.00307604840851847	0.00588682040036346	0.00546116504854369
mjf_nivel_tec	0.00300326209175849	0.000703215573026655	0.000910194174757282
Master_mpagospesos	0.00292664071992121	0.0332015236660218	0.0179004854368932
mtransferencias_emitidas	0.00282881326095564	0.00408650290594818	0.00970873786407767
Visa_cconsumos	0.00281443710392054	0.00161251471254876	0.00424757281553398
mvr_msaldopesos2	0.00271025522239644	0.00484879123748306	0.00758495145631068
Visa_fechaalta	0.00266022760356327	0.0027074759472615	0.00576456310679612
mvr_Visa_mlimitecompra	0.00261946863154772	0.00687411868694085	0.00910194174757281
Master_status	0.00261568442566299	0.00558104199724844	0.00121359223300971
mplazo_fijo_dolares	0.00248220137279539	0.00975106566270953	0.00273058252427184
tcallcenter	0.00229491608561966	0.00246335271832719	0.00121359223300971
Visa_mpagospesos	0.00229348419969333	0.00496457520332531	0.0066747572815534
mv_msaldototal	0.00227978276515166	0.0020741894723136	0.00455097087378641
mcuenta_debitos_automaticos	0.00221214310720234	0.00393505781841805	0.00515776699029126
Master_mlimitecompra	0.00216271080694305	0.00115284472284547	0.00273058252427184
mvr_Master_mlimitecompra	0.00204482385585011	0.0158876328419257	0.0124393203883495
Visa_mpagominimo	0.00201704817430387	0.0175026959909934	0.0172936893203883
ccajas_consultas	0.00197639060024558	0.00704955305690227	0.00151699029126214
mv_status01	0.00192702562715384	0.00274446225593921	0.000606796116504854
mdescubierto_preacordado	0.00186324821788681	0.00164720742835946	0.00121359223300971
mvr_mpagado	0.00177799731585617	0.00996613671532833	0.0115291262135922
mpagomiscuentas	0.00167833124624578	0.00217245718448258	0.00394417475728155
mv_mfinanciacion_limite	0.00163484659991664	0.00231277409921349	0.00606796116504854
mv_mpagominimo	0.00160012503418542	0.00259300017883229	0.00424757281553398
ctarjeta_debito	0.0015884868564443	0.00380007563080005	0.00455097087378641
ccuenta_debitos_automaticos	0.00155883048966803	0.00323442466106389	0.00303398058252427
Master_mpagominimo	0.00154912014228554	0.00301206508000103	0.00242718446601942
mv_cconsumos	0.00146760155094604	0.00134421531583844	0.00364077669902913
Visa_mpagado	0.00144521754976461	0.00306677151727352	0.00455097087378641
mv_status02	0.00135342504481309	0.0080544525450369	0.000910194174757282
ctarjeta_master_trx	0.00122919825148525	0.0010834083224937	0.00242718446601942
