Feature	Gain	Cover	Frequency
ctrx_quarter	0.0920262569042107	0.0259833029458605	0.0239649194370793
mpasivos_margen	0.0815695046887801	0.0242278371660358	0.024916717655857
cpayroll_trx	0.0619147393112507	0.0170705749032329	0.00482697668094364
mpayroll	0.0558232554823968	0.0329153421017624	0.0125773336052757
mtarjeta_visa_consumo	0.0415602708769672	0.0202501827413068	0.0195118634849412
mcaja_ahorro	0.0370768899862997	0.0138291690316878	0.0204636617037188
ctarjeta_visa_trx	0.0275947980506761	0.0137360198007485	0.0160445985451084
mcuentas_saldo	0.0272129737780675	0.0335155858211482	0.0319532259161058
Visa_msaldopesos	0.0229967513680834	0.0156369273103194	0.0205996328778299
mrentabilidad_annual	0.0217167281287206	0.0311603113429912	0.0282480114215786
mprestamos_personales	0.0216327722731737	0.0257599683312093	0.0091440614589707
mactivos_margen	0.0203006094314666	0.0277995501641142	0.0228431572506629
Master_fechaalta	0.0199800452046292	0.0249324961413447	0.0311034060779115
Visa_msaldototal	0.0199596893849322	0.0135397316229901	0.0191719355496635
cliente_edad	0.0183492277360394	0.0284638282405539	0.030423550207356
Visa_mpagominimo	0.0182571926912006	0.0130171386979017	0.0203276905296077
Visa_mpagospesos	0.0179171339324434	0.0124142375471328	0.0181521517438303
Master_Fvencimiento	0.0176054683352845	0.0253416682254148	0.0304575430008838
Visa_Fvencimiento	0.0158789258226113	0.0146704079219319	0.0251886600040791
mcuenta_corriente	0.0155149556335	0.01509044440174	0.0194098851043579
Visa_fechaalta	0.0150546601110343	0.0149673881690264	0.0227411788700795
chomebanking_trx	0.0150081534497325	0.0210960890642627	0.0230471140118295
numero_de_cliente	0.0147315926074419	0.0157112481993236	0.0236249915018016
mcomisiones_otras	0.0137492546808382	0.011582226854037	0.0196138418655245
Visa_mconsumospesos	0.0135427805383759	0.0157063358933534	0.0219933374124686
cliente_antiguedad	0.0135323894012592	0.0149169192339541	0.0218573662383575
mrentabilidad	0.0129282573172072	0.0156105357238825	0.0198857842137467
mcaja_ahorro_dolares	0.0129236922281552	0.0211235547538554	0.0224012509348018
Visa_mfinanciacion_limite	0.0122426616235818	0.0188458021405151	0.0213134815419131
mcomisiones	0.0121226109892205	0.0119031592304873	0.0197498130396356
ccomisiones_otras	0.0112151414655121	0.0146471690786961	0.0159766129580529
Master_mfinanciacion_limite	0.010817268281911	0.0129517760889314	0.0191039499626079
ctarjeta_debito_trx	0.00964099466607742	0.0116833177699682	0.0136311102046366
Master_mlimitecompra	0.00954282492660076	0.0112312687493842	0.0159766129580529
mtransferencias_emitidas	0.00923696093760325	0.00914798631536926	0.0130532327146645
Visa_mlimitecompra	0.00913936215953662	0.0163558687039306	0.0162825480998028
mtransferencias_recibidas	0.0088917007794275	0.0095066532899084	0.0139710381399143
mautoservicio	0.008497677294741	0.0133437272755993	0.0155686994357196
Visa_mconsumototal	0.00763653966610287	0.00740489498304225	0.011183629070637
mtarjeta_visa_debitos_automaticos	0.00692245752281249	0.0109881838078782	0.0119994561153036
Master_mpagospesos	0.00657151123120162	0.0184413373738163	0.0102998164389149
Visa_cconsumos	0.00633210094067349	0.00654882456476515	0.0125433408117479
ctransferencias_recibidas	0.00613256021162125	0.0139803606452537	0.00944999660072065
cproductos	0.00608111873837269	0.00805623187879916	0.00798830647902645
mpagomiscuentas	0.00562747023568088	0.0152656642037797	0.0101978380583316
cprestamos_personales	0.00462435606603129	0.00316697460406452	0.00200557481813855
mcomisiones_mantenimiento	0.0046107711111509	0.00653950082994411	0.00669658032497111
mcuenta_debitos_automaticos	0.00446676292516378	0.0102263293032946	0.00924603983955401
ccaja_ahorro	0.00438720409228889	0.0193629865202651	0.00598273166088789
Master_msaldototal	0.00391331991698599	0.00530521253357059	0.00564280372561017
mextraccion_autoservicio	0.00348576123788616	0.0119020610110257	0.00863416955605412
Visa_mpagado	0.00329937170994109	0.015112248324784	0.0076823713372765
ctarjeta_debito	0.00326986492942402	0.00410570829803309	0.00543884696444354
Master_msaldopesos	0.00325833468800402	0.00954477374888919	0.00554082534502685
ctransferencias_emitidas	0.00320838908473247	0.00383187970445356	0.00554082534502685
ccomisiones_mantenimiento	0.00299124506820985	0.00179269764569388	0.00373920728805493
Visa_mconsumosdolares	0.00291456233833246	0.0039075214249724	0.00615269562852675
thomebanking	0.0028777487754354	0.00206969104062731	0.0029233802433884
ccaja_seguridad	0.00257346026711657	0.0163736832334742	0.00418111360391597
ccuenta_debitos_automaticos	0.00248679884288945	0.00788261024579023	0.00635665238969339
cpagomiscuentas	0.00236665541992064	0.00618163433124566	0.00489496226799918
mplazo_fijo_dolares	0.00207217920102901	0.0154943275944503	0.0037732000815827
ccallcenter_trx	0.00205603872237097	0.00869504313637231	0.00302535862397172
Master_cconsumos	0.0020440281639412	0.00662013277065169	0.00387517846216602
Master_fultimo_cierre	0.00195455408104146	0.00274267046568976	0.00363722890747162
Master_mpagominimo	0.00194693743000546	0.00292000137203229	0.00363722890747162
ctarjeta_visa_debitos_automaticos	0.00190033467412517	0.00304008573383794	0.00404514242980488
matm	0.00186042004446982	0.00491864948613625	0.00458902712624924
catm_trx	0.00159747465435703	0.00941942368447917	0.00401114963627711
Visa_fultimo_cierre	0.00154840529968434	0.00192588365437052	0.00278740906927731
cseguro_accidentes_personales	0.00153995198688291	0.0116363735257354	0.00373920728805493
mtarjeta_master_consumo	0.00152373596535038	0.00404071485405081	0.00299136583044395
