Feature	Gain	Cover	Frequency
ctrx_quarter	0.117643397185215	0.0282529118803683	0.025921384290483
mpasivos_margen	0.0708417287523658	0.0240253144156679	0.0250698276449349
cpayroll_trx	0.058588884971951	0.0173210217243381	0.00510933987328837
mpayroll	0.05151308249937	0.032487597567532	0.0125689760882894
mtarjeta_visa_consumo	0.0442135443719149	0.0236805242816219	0.0235710879487704
mcaja_ahorro	0.0400758286723343	0.0145415825159351	0.0223107841133592
Visa_msaldototal	0.0310183885141791	0.0135812503270524	0.0169970706451393
mcuentas_saldo	0.0282199917254967	0.031973921699683	0.029021050480278
ctarjeta_visa_trx	0.0274025201794863	0.0127836365712556	0.0155664554806186
mrentabilidad_annual	0.02532816133048	0.0328509239180342	0.0305538524422645
Master_fechaalta	0.0210606592677938	0.0257200756689403	0.0327338374548675
mactivos_margen	0.0203784158003563	0.0264701112500921	0.0234689011513046
mprestamos_personales	0.0197668963772779	0.0248810426924928	0.00868587778459023
Visa_msaldopesos	0.018489461697814	0.017548260324475	0.022412970910825
Visa_Fvencimiento	0.017438313582175	0.0152235459357882	0.0270113767967845
Master_Fvencimiento	0.0171848362201481	0.0255132605720203	0.0302132297840452
cliente_edad	0.0171332726291281	0.0284375089286748	0.0288507391511683
chomebanking_trx	0.0154933844151989	0.0193019197633027	0.0231964030247292
Visa_mpagominimo	0.0150789023729016	0.0111592632311452	0.018904557531167
Visa_fechaalta	0.0149490373888249	0.0150093096749075	0.0221745350500715
mrentabilidad	0.014200113478061	0.0167225097662035	0.0216976633285646
numero_de_cliente	0.0137328406656567	0.0155841104484654	0.0222085973158935
Visa_mfinanciacion_limite	0.0133644724028013	0.0186306809548019	0.0215614142652769
cliente_antiguedad	0.0130748864623511	0.0144387314156601	0.0203692349615096
mcaja_ahorro_dolares	0.012999374779378	0.0210131963987059	0.0217998501260304
Master_mfinanciacion_limite	0.0129613121967755	0.0145559871046175	0.0220382859867838
mcuenta_corriente	0.012881561652914	0.0157733862985941	0.0187683084678793
mcomisiones_otras	0.0127134631855737	0.0110981355431953	0.0178826895565093
mcomisiones	0.0114397959249562	0.010737092485079	0.0187683084678793
ccomisiones_otras	0.00966237304197315	0.0134000967655974	0.0159070781388378
Visa_mconsumospesos	0.00957613222938005	0.0122689155082324	0.0187683084678793
Master_mlimitecompra	0.009447697818387	0.011153458549162	0.0168608215818516
Visa_mpagospesos	0.00943428620428287	0.0108561278808148	0.0167586347843859
mtransferencias_recibidas	0.00936031768514463	0.00911020307175869	0.0140336535186321
Visa_mlimitecompra	0.00891111860747664	0.0162124109327705	0.0147830233667144
mtransferencias_emitidas	0.00848787064073802	0.00959946384807706	0.0138292799237005
mtarjeta_visa_debitos_automaticos	0.00704685250006491	0.00989163624174926	0.0118877307718509
Visa_mconsumototal	0.00694980245312843	0.00835859830672521	0.0120580421009606
