Feature	Gain	Cover	Frequency
ctrx_quarter	0.289996482512969	0.0475791223502588	0.0279648609077599
mpayroll	0.0911536465764848	0.0722008812658966	0.0117130307467057
mtarjeta_visa_consumo	0.0718557203419368	0.0162423877106082	0.0101024890190337
cpayroll_trx	0.0683180839672515	0.0200487600125548	0.00541727672035139
mpasivos_margen	0.0453574570734144	0.0199427388500947	0.0213762811127379
mcuentas_saldo	0.0265137622918124	0.0194472868308707	0.0301610541727672
mcaja_ahorro	0.0245498032826965	0.0157187413785198	0.01800878477306
mrentabilidad_annual	0.0205225563984922	0.022289713537295	0.036896046852123
mprestamos_personales	0.020163486583381	0.0126185286811838	0.0115666178623719
mactivos_margen	0.0183093538416001	0.0187560812525163	0.0232796486090776
ctarjeta_visa_trx	0.0143193338563849	0.00953675516333072	0.00746705710102489
mcuenta_corriente	0.0138332629203943	0.0123382580965238	0.0275256222547584
cliente_edad	0.013649949542336	0.0260705610054445	0.0427525622254758
Visa_mpagominimo	0.0127474330095105	0.0067134102887573	0.0134699853587116
Master_fechaalta	0.0123508674898351	0.01527326793961	0.0355783308931186
ccomisiones_otras	0.0112486404374156	0.0263264272783849	0.0234260614934114
Master_mfinanciacion_limite	0.0111109933171225	0.0183625143510247	0.0361639824304539
numero_de_cliente	0.0106237588811259	0.0165913726638505	0.0301610541727672
cliente_antiguedad	0.0104660159534111	0.0116100011374123	0.0253294289897511
Visa_mfinanciacion_limite	0.0102354749929743	0.0113183028753874	0.032796486090776
Visa_Fvencimiento	0.0102354450722287	0.014299048145332	0.0345534407027818
Master_Fvencimiento	0.00911174303956291	0.0150097475121835	0.0380673499267936
chomebanking_trx	0.00901019826589166	0.0162825370053446	0.0144948755490483
Visa_fechaalta	0.00881012235295911	0.0122941045831866	0.027086383601757
mcomisiones_otras	0.00851748882686247	0.00895119998645487	0.0125915080527086
mcaja_ahorro_dolares	0.00714667746816765	0.028968783120027	0.0156661786237189
mrentabilidad	0.00685681784389229	0.0108089514389213	0.0174231332357247
mpagomiscuentas	0.00656896096219852	0.0118565324727504	0.00805270863836018
mtarjeta_visa_debitos_automaticos	0.00631741766629197	0.00575809106540599	0.0089311859443631
mtransferencias_recibidas	0.00616056935971631	0.00664860126918075	0.013909224011713
Master_mpagospesos	0.00611825355103952	0.0169393194863444	0.0152269399707174
cproductos	0.00565375859366855	0.00611703713035285	0.0105417276720351
Visa_mlimitecompra	0.00552827661993621	0.0155845588597271	0.0133235724743777
Visa_msaldopesos	0.00526286508710286	0.0247947477505004	0.0125915080527086
ccaja_ahorro	0.00492169957927437	0.0204210452337049	0.00717423133235725
mcomisiones	0.00490348471311203	0.00491203098375371	0.0115666178623719
mcuenta_debitos_automaticos	0.00482541157532753	0.00661006684449737	0.00907759882869692
Visa_mconsumospesos	0.00441506795165389	0.010809412830365	0.0193265007320644
Master_mlimitecompra	0.00440895305763044	0.00941472536560019	0.00805270863836018
Visa_mpagospesos	0.00436788842196639	0.00976128801376298	0.0150805270863836
mcomisiones_mantenimiento	0.00361532381431789	0.0096281765822503	0.00571010248901903
ccaja_seguridad	0.00343668911203954	0.00354404654879406	0.00380673499267936
