Feature	Gain	Cover	Frequency
mpasivos_margen	0.0860786958396933	0.0250626660763466	0.0325153374233129
ctrx_quarter	0.070269237490945	0.0203766412545305	0.0216768916155419
mcaja_ahorro	0.0557507860628956	0.0197831311925436	0.0313905930470348
Visa_msaldototal	0.0517205024641058	0.0101499730024557	0.0173824130879346
cpayroll_trx	0.0451744354131176	0.0158567516777495	0.00368098159509202
mpayroll	0.0412354904183905	0.0325456712551531	0.0147239263803681
mtarjeta_visa_consumo	0.0351747815764777	0.0139538185140639	0.0174846625766871
mprestamos_personales	0.0273281442162573	0.0158650365184338	0.00572597137014315
mactivos_margen	0.0269369269492578	0.0229124324340124	0.0214723926380368
mrentabilidad_annual	0.0233505984840245	0.0251272263525059	0.0293456032719836
mcuentas_saldo	0.023218664593084	0.0261870812271935	0.0255623721881391
ctarjeta_visa_trx	0.0222078192621511	0.0204331938592499	0.0219836400817996
cliente_edad	0.0200488653044761	0.0279219994344236	0.0320040899795501
Master_Fvencimiento	0.0186125764276213	0.0214637443856535	0.0319018404907976
Visa_fechaalta	0.0155147620414771	0.0142664956582824	0.0221881390593047
Visa_Fvencimiento	0.0152995146511945	0.0137293164656194	0.0243353783231084
Master_fechaalta	0.0151190637422515	0.0199535298045002	0.0239263803680982
mcuenta_corriente	0.0149205196850359	0.0135174936502416	0.0184049079754601
numero_de_cliente	0.0143003616303088	0.0141282889941914	0.0217791411042945
Visa_msaldopesos	0.0140369308160694	0.0206993720831559	0.0249488752556237
chomebanking_trx	0.0139291312072678	0.0143191678935815	0.0189161554192229
mcomisiones_otras	0.013281305487908	0.0123373019685593	0.0194274028629857
Master_mfinanciacion_limite	0.0121324400735966	0.0114317245346914	0.0205521472392638
mrentabilidad	0.0120592992871801	0.013187848708831	0.0157464212678937
Visa_mpagospesos	0.0116828961937066	0.0112040778751843	0.0216768916155419
Master_mlimitecompra	0.011248067347345	0.0118209205481007	0.0179959100204499
cliente_antiguedad	0.0107755555758374	0.0119621105611485	0.0170756646216769
mcaja_ahorro_dolares	0.0107442459740817	0.0176222744089914	0.0169734151329243
Visa_mfinanciacion_limite	0.0106589050190577	0.0130970984588055	0.0177914110429448
mcomisiones	0.0105838687096987	0.0103210468994803	0.0178936605316973
cproductos	0.00970144045945114	0.00753019954195011	0.0104294478527607
Visa_mconsumospesos	0.00962764314794568	0.0102660615608514	0.0192229038854806
mtransferencias_recibidas	0.0093210871294485	0.00845815209299441	0.0157464212678937
Visa_mpagominimo	0.00931103673995408	0.0127647523771231	0.0168711656441718
ctarjeta_debito_trx	0.00907536370176679	0.00946502732649375	0.0158486707566462
ccomisiones_mantenimiento	0.00890797009211466	0.0194790462948986	0.00633946830265849
ctarjeta_master	0.00818776414829743	0.00029246898658836	0.00081799591002045
ccomisiones_otras	0.00791988843253767	0.0126608491865952	0.0115541922290389
mautoservicio	0.00768986162504612	0.0139732405189284	0.0164621676891616
Visa_mlimitecompra	0.00767768766451453	0.0126902744814586	0.0128834355828221
Visa_mconsumototal	0.00766626785171007	0.00632622673910661	0.0111451942740286
cextraccion_autoservicio	0.00741368804391874	0.00549723872660084	0.00521472392638037
mtransferencias_emitidas	0.00740513102155345	0.0132031081355901	0.0139059304703477
mcomisiones_mantenimiento	0.00737643645740792	0.0148010241050816	0.00828220858895706
ctransferencias_recibidas	0.00603808283892817	0.0118856924807738	0.00910020449897751
mextraccion_autoservicio	0.00597321565066898	0.0105858745532504	0.0102249488752556
mtarjeta_visa_debitos_automaticos	0.00579190916426427	0.00916729212426364	0.0101226993865031
Master_mpagominimo	0.00526671877997956	0.00504183453988885	0.00603271983640082
thomebanking	0.00504420573317191	0.00504870329770676	0.00368098159509202
Visa_cconsumos	0.00435146651344787	0.00680945871794661	0.00950920245398773
ctransferencias_emitidas	0.00427394235124668	0.0137270638355794	0.00715746421267894
tcallcenter	0.0038971078164605	0.00253144718150753	0.00153374233128834
mpagomiscuentas	0.003833834815722	0.00892817569748318	0.00940695296523517
Visa_mpagado	0.00379153779940484	0.00919866264327792	0.00623721881390593
ccuenta_debitos_automaticos	0.00377216490620707	0.00877086451329849	0.00685071574642127
Master_msaldopesos	0.00372000141457644	0.0050762942361169	0.00593047034764826
Master_mpagospesos	0.00370948422627831	0.0111941753740015	0.00674846625766871
Master_msaldototal	0.00361778256053418	0.00626917019030667	0.00613496932515337
ctarjeta_visa_debitos_automaticos	0.0036168019764339	0.00574797106443799	0.0065439672801636
Master_status	0.00336392338107573	0.00872088837883029	0.00204498977505112
mcuenta_debitos_automaticos	0.00336255502459529	0.00806163377209477	0.00879345603271984
mdescubierto_preacordado	0.00326669938255303	0.00506109024320669	0.00214723926380368
cpagomiscuentas	0.00300137048944564	0.0067059435643607	0.00521472392638037
ccallcenter_trx	0.00289434139750022	0.00623504813661259	0.00255623721881391
ccaja_ahorro	0.00278466351966813	0.0106426337750428	0.00357873210633947
Visa_mconsumosdolares	0.0027321609446984	0.00286732591119452	0.00439672801635992
mplazo_fijo_dolares	0.00234999521377578	0.0156237480926661	0.00276073619631902
cprestamos_personales	0.00233207992103105	0.00461158724167795	0.00173824130879346
ccajas_consultas	0.00212819874670154	0.00984084866400519	0.00173824130879346
ctarjeta_debito	0.00212283591123085	0.00334950464690616	0.00357873210633947
cmobile_app_trx	0.00195458715459323	0.00139336002775522	0.00276073619631902
Visa_fultimo_cierre	0.00192233600770714	0.00169543922795968	0.00357873210633947
Master_fultimo_cierre	0.00186170268466043	0.00309498768902407	0.00388548057259714
Master_mconsumototal	0.00171335866638483	0.00303528543380124	0.0032719836400818
matm	0.00166775666529405	0.00383052935067334	0.00593047034764826
Master_mconsumospesos	0.00147032996567187	0.00357856738927964	0.00357873210633947
mtarjeta_master_consumo	0.00140090954894884	0.00277234757033314	0.00265848670756646
Master_cconsumos	0.00135109010341552	0.00263778946138532	0.00255623721881391
cseguro_accidentes_personales	0.00128083875780063	0.0079824087231914	0.00224948875255624
Visa_mpagosdolares	0.00112612256737262	0.00317350721621466	0.00214723926380368
catm_trx	0.00112183187487985	0.0049515479184174	0.00337423312883436
Visa_delinquency	0.00102101862887878	0.00249432666053417	0.00132924335378323
ccaja_seguridad	0.00101479548641383	0.00652301186312083	0.00122699386503067
