numero_de_cliente,Predicted
4572300,TRUE
4572957,TRUE
4572973,TRUE
4572998,TRUE
4573029,TRUE
4573199,TRUE
4573369,TRUE
4573680,TRUE
4573758,TRUE
4573965,TRUE
4574204,TRUE
4574251,TRUE
4574383,TRUE
4574424,TRUE
4574581,TRUE
4574892,TRUE
4575074,TRUE
4575282,TRUE
4575448,TRUE
4575615,TRUE
4575709,TRUE
4575913,TRUE
4576026,TRUE
4576165,TRUE
4576328,TRUE
4576397,TRUE
4576479,TRUE
4577138,TRUE
4577418,TRUE
4577575,TRUE
4577625,TRUE
4578518,TRUE
4578536,TRUE
4578546,TRUE
4578640,TRUE
4578866,TRUE
4578973,TRUE
4578983,TRUE
4579278,TRUE
4579501,TRUE
4580201,TRUE
4580302,TRUE
4580355,TRUE
4580362,TRUE
4581185,TRUE
4581502,TRUE
4581565,TRUE
4582225,TRUE
4582272,TRUE
4582407,TRUE
4582652,TRUE
4582696,TRUE
4582866,TRUE
4583007,TRUE
4583010,TRUE
4583038,TRUE
4583145,TRUE
4583167,TRUE
4583440,TRUE
4583459,TRUE
4583635,TRUE
4583918,TRUE
4584015,TRUE
4584144,TRUE
4584257,TRUE
4584314,TRUE
4584427,TRUE
4584534,TRUE
4584565,TRUE
4584568,TRUE
4584970,TRUE
4585360,TRUE
4585577,TRUE
4585709,TRUE
4585847,TRUE
4585957,TRUE
4586023,TRUE
4586079,TRUE
4586152,TRUE
4587019,TRUE
4587327,TRUE
4587924,TRUE
4587971,TRUE
4588140,TRUE
4588294,TRUE
4588442,TRUE
4588819,TRUE
4589190,TRUE
4589274,TRUE
4589375,TRUE
4589466,TRUE
4589567,TRUE
4589962,TRUE
4589997,TRUE
4590019,TRUE
4590211,TRUE
4590409,TRUE
4590836,TRUE
4590977,TRUE
4591043,TRUE
4591225,TRUE
4591439,TRUE
4591470,TRUE
4591763,TRUE
4591841,TRUE
4592202,TRUE
4592648,TRUE
4592787,TRUE
4592890,TRUE
4592894,TRUE
4593135,TRUE
4593211,TRUE
4593239,TRUE
4593864,TRUE
4594163,TRUE
4594197,TRUE
4594260,TRUE
4594345,TRUE
4594505,TRUE
4594599,TRUE
4594791,TRUE
4594954,TRUE
4595284,TRUE
4595806,TRUE
4595828,TRUE
4595975,TRUE
4596101,TRUE
4596205,TRUE
4596494,TRUE
4596663,TRUE
4596695,TRUE
4597452,TRUE
4598124,TRUE
4598671,TRUE
4598841,TRUE
4598963,TRUE
4599177,TRUE
4599186,TRUE
4599538,TRUE
4599814,TRUE
4599843,TRUE
4600634,TRUE
4600848,TRUE
4600892,TRUE
4601015,TRUE
4601888,TRUE
4601963,TRUE
4601992,TRUE
4602343,TRUE
4602447,TRUE
4603088,TRUE
4603141,TRUE
4603160,TRUE
4603267,TRUE
4603280,TRUE
4603415,TRUE
4603826,TRUE
4603861,TRUE
4604056,TRUE
4604363,TRUE
4604568,TRUE
4604706,TRUE
4604781,TRUE
4604907,TRUE
4604951,TRUE
4605017,TRUE
4605036,TRUE
4605130,TRUE
4605249,TRUE
4605278,TRUE
4605328,TRUE
4605501,TRUE
4605601,TRUE
4606003,TRUE
4606113,TRUE
4606462,TRUE
4606468,TRUE
4606475,TRUE
4606503,TRUE
4606669,TRUE
4606870,TRUE
4606996,TRUE
4607065,TRUE
4607282,TRUE
4607373,TRUE
4607555,TRUE
4607782,TRUE
4607816,TRUE
4607885,TRUE
4607891,TRUE
4608005,TRUE
4608036,TRUE
4608196,TRUE
4608303,TRUE
4608404,TRUE
4608488,TRUE
4608557,TRUE
4608834,TRUE
4608847,TRUE
4608938,TRUE
4609060,TRUE
4609170,TRUE
4609271,TRUE
4609302,TRUE
4610241,TRUE
4610389,TRUE
4610581,TRUE
4610791,TRUE
4610939,TRUE
4610961,TRUE
4611184,TRUE
4611275,TRUE
4611435,TRUE
4611699,TRUE
4611705,TRUE
4611718,TRUE
4612054,TRUE
4612107,TRUE
4612233,TRUE
4612447,TRUE
4612604,TRUE
4612620,TRUE
4612623,TRUE
4612664,TRUE
4612953,TRUE
4613455,TRUE
