numero_de_cliente,Predicted
4572300,1
4572957,1
4572973,1
4572998,1
4573029,1
4573199,1
4573369,1
4573680,1
4573758,1
4573965,1
4574204,1
4574251,1
4574383,1
4574424,1
4574581,1
4574892,1
4575074,1
4575282,1
4575448,1
4575615,1
4575709,1
4575913,1
4576026,1
4576165,1
4576328,1
4576397,1
4576479,1
4577138,1
4577418,1
4577575,1
4577625,1
4578518,1
4578536,1
4578546,1
4578640,1
4578866,1
4578973,1
4578983,1
4579278,1
4579501,1
4580201,1
4580302,1
4580355,1
4580362,1
4581185,1
4581502,1
4581565,1
4582225,1
4582272,1
4582407,1
4582652,1
4582696,1
4582866,1
4583007,1
4583010,1
4583038,1
4583145,1
4583167,1
4583440,1
4583459,1
4583635,1
4583918,1
4584015,1
4584144,1
4584257,1
4584314,1
4584427,1
4584534,1
4584565,1
4584568,1
4584970,1
4585360,1
4585577,1
4585709,1
4585847,1
4585957,1
4586023,1
4586079,1
4586152,1
4587019,1
4587327,1
4587924,1
4587971,1
4588140,1
4588294,1
4588442,1
4588819,1
4589190,1
4589274,1
4589375,1
4589466,1
4589567,1
4589962,1
4589997,1
4590019,1
4590211,1
4590409,1
4590836,1
4590977,1
4591043,1
4591225,1
4591439,1
4591470,1
4591763,1
4591841,1
4592202,1
4592648,1
4592787,1
4592890,1
4592894,1
4593135,1
4593211,1
4593239,1
4593864,1
4594163,1
4594197,1
4594260,1
4594345,1
4594505,1
4594599,1
4594791,1
4594954,1
4595284,1
4595806,1
4595828,1
4595975,1
4596101,1
4596205,1
4596494,1
4596663,1
4596695,1
4597452,1
4598124,1
4598671,1
4598841,1
4598963,1
4599177,1
4599186,1
4599538,1
4599814,1
4599843,1
4600634,1
4600848,1
4600892,1
4601015,1
4601888,1
4601963,1
4601992,1
4602343,1
4602447,1
4603088,1
4603141,1
4603160,1
4603267,1
4603280,1
4603415,1
4603826,1
4603861,1
4604056,1
4604363,1
4604568,1
4604706,1
4604781,1
4604907,1
4604951,1
4605017,1
4605036,1
4605130,1
4605249,1
4605278,1
4605328,1
4605501,1
4605601,1
4606003,1
4606113,1
4606462,1
4606468,1
4606475,1
4606503,1
4606669,1
4606870,1
4606996,1
4607065,1
4607282,1
4607373,1
4607555,1
4607782,1
4607816,1
4607885,1
4607891,1
4608005,1
4608036,1
4608196,1
4608303,1
4608404,1
4608488,1
4608557,1
4608834,1
4608847,1
4608938,1
4609060,1
4609170,1
4609271,1
4609302,1
4610241,1
4610389,1
4610581,1
4610791,1
4610939,1
4610961,1
4611184,1
4611275,1
4611435,1
4611699,1
4611705,1
4611718,1
4612054,1
4612107,1
4612233,1
4612447,1
4612604,1
4612620,1
4612623,1
4612664,1
4612953,1
4613455,1
4613587,1
4613788,1
4613939,1
4614036,1
4614043,1
4614087,1
4614197,1
4614580,1
4614772,1
4614998,1
4615331,1
4615353,1
4615632,1
4615855,1
4616182,1
4616374,1
4616518,1
4616569,1
4616578,1
4617140,1
4617379,1
4617533,1
4617590,1
4617612,1
4618567,1
4618677,1
4619242,1
4619804,1
4620219,1
4620376,1
4620521,1
4620593,1
4620649,1
4621023,1
4621061,1
4621165,1
4621328,1
4621469,1
4621551,1
4621963,1
4622186,1
4622242,1
4622544,1
4622704,1
4622830,1
4623219,1
4623794,1
4623914,1
4624294,1
4624435,1
4624699,1
4624815,1
4624822,1
4624982,1
4625085,1
4625274,1
4625390,1
4625462,1
4626088,1
4626201,1
4626358,1
4626490,1
4626512,1
4626882,1
4627404,1
4627684,1
4627787,1
4628054,1
4628057,1
4628060,1
4628076,1
4628126,1
4628397,1
4628400,1
4628525,1
4628529,1
4628547,1
4628613,1
4628833,1
4629047,1
4629053,1
4629097,1
4629427,1
4629688,1
4630131,1
4630216,1
4630379,1
4630775,1
4631054,1
4631105,1
4631334,1
4631403,1
4631516,1
4631570,1
4631683,1
4631727,1
4631934,1
4632063,1
4632145,1
4632283,1
4632606,1
4632625,1
4632697,1
4633009,1
4633046,1
4633112,1
4633206,1
4633420,1
4633511,1
4633759,1
4633832,1
4633942,1
4634092,1
4634840,1
4634978,1
4635003,1
4635264,1
4635836,1
4636153,1
4636464,1
4636942,1
4637105,1
4637118,1
4637498,1
4637567,1
4638195,1
4638261,1
4638478,1
4638601,1
4638751,1
4639091,1
4639141,1
4639314,1
4639342,1
4639474,1
4639571,1
4639716,1
4640046,1
4640294,1
4640558,1
4640674,1
4640938,1
4641064,1
4641368,1
4641503,1
4641541,1
4641563,1
4641761,1
4641821,1
4642063,1
4642103,1
4642198,1
4642242,1
4642361,1
4642364,1
4642572,1
4642688,1
4642757,1
4642795,1
4642817,1
4642839,1
4643146,1
4643266,1
4643435,1
4643536,1
4643552,1
4643571,1
4643746,1
4644032,1
4644167,1
4644227,1
4644450,1
4644554,1
4645063,1
4645487,1
4645657,1
4645854,1
4645946,1
4646137,1
4646165,1
4646879,1
4647454,1
4647827,1
4647915,1
4647972,1
4648214,1
4648374,1
4648537,1
4648569,1
4648654,1
4648757,1
4648996,1
4649426,1
4649496,1
4649734,1
4649775,1
4650777,1
4650780,1
4650787,1
4652194,1
4652310,1
4652571,1
4652892,1
4652917,1
4652942,1
4653096,1
4653162,1
4653259,1
4653284,1
4653671,1
4653674,1
4653765,1
4653872,1
4654192,1
4654330,1
4654362,1
4654447,1
4654676,1
4654695,1
4654865,1
4654877,1
4655078,1
4655125,1
4655631,1
4655675,1
4655694,1
4655788,1
4655942,1
4656014,1
4656030,1
4656171,1
4656244,1
4656278,1
4656382,1
4656520,1
4656602,1
4656655,1
4656765,1
4656988,1
4657258,1
4657346,1
4657852,1
4658110,1
4658148,1
4658154,1
4658455,1
4658722,1
4659213,1
4659558,1
4659740,1
4659841,1
4659935,1
4660259,1
4660658,1
4661066,1
4661584,1
4661610,1
4661632,1
4661738,1
4661770,1
4662005,1
4662442,1
4662524,1
4662957,1
4663256,1
4663498,1
4663934,1
4664227,1
4665018,1
4665062,1
4665565,1
4665653,1
4665794,1
4665848,1
4666712,1
4667029,1
4667038,1
4667151,1
4667362,1
4667384,1
4667415,1
4667745,1
4667764,1
4668750,1
4668754,1
4669071,1
4669275,1
4669297,1
4669627,1
4669690,1
4669693,1
4669718,1
4669775,1
4669897,1
4669957,1
4670500,1
4670598,1
4670682,1
4670730,1
4670840,1
4671436,1
4671779,1
4672112,1
4672150,1
4672244,1
4672382,1
4672432,1
4672599,1
4672646,1
4673111,1
4673325,1
4673676,1
4673680,1
4673796,1
4674035,1
4674236,1
4674644,1
4675244,1
4675521,1
4675527,1
4675549,1
4675753,1
4675832,1
4675841,1
4675951,1
4676218,1
4676278,1
4676281,1
4676827,1
4677041,1
4677355,1
4677591,1
4677698,1
4677952,1
4678037,1
4678624,1
4679020,1
4679083,1
4679250,1
4679265,1
4679316,1
4679825,1
4679919,1
4679982,1
4680252,1
4680465,1
4680930,1
4681037,1
4681185,1
4681329,1
4681552,1
4681895,1
4682011,1
4682737,1
4682752,1
4682774,1
4682919,1
4683170,1
4683261,1
4683274,1
4683390,1
4683400,1
4683739,1
4683871,1
4683997,1
4684003,1
4684100,1
4684725,1
4685134,1
4685184,1
4685209,1
4685278,1
4685561,1
4685586,1
4685608,1
4685636,1
4685966,1
4686067,1
4686073,1
4686513,1
4686786,1
4687506,1
4687550,1
4687902,1
4688187,1
4688231,1
4688316,1
4688483,1
4689111,1
4689234,1
4689265,1
4689956,1
4690079,1
4690811,1
4691031,1
4691420,1
4691464,1
4691533,1
4691656,1
4691684,1
4692136,1
4692356,1
4692507,1
4692746,1
4693135,1
4693242,1
4693283,1
4693783,1
4694219,1
4694455,1
4694537,1
4694596,1
4694826,1
4695463,1
4695473,1
4695834,1
4695881,1
4695925,1
4696139,1
4696261,1
4696362,1
4696434,1
4696544,1
4696623,1
4696714,1
4696865,1
4696877,1
4697323,1
4697483,1
4697763,1
4698671,1
4699419,1
4699582,1
4699774,1
4699799,1
4700041,1
4700122,1
4700242,1
4700499,1
4700763,1
4700804,1
4700845,1
4701002,1
4701175,1
4701731,1
4701857,1
4702249,1
4702299,1
4702381,1
4702403,1
4702654,1
4702761,1
4703449,1
4703961,1
4704074,1
4704385,1
4704605,1
4704612,1
4704784,1
4704803,1
4704885,1
4704957,1
4704967,1
4705064,1
4705366,1
4705435,1
4705454,1
4705589,1
4705868,1
4705909,1
4706069,1
4706132,1
4706274,1
4706537,1
4706603,1
4706713,1
